user_id,register_date,channel,city_tier,user_type
U00056,2023-12-05,社交媒体,二线,老客带新
U00057,2024-12-02,内容营销,二线,新客
U00058,2024-07-11,自然搜索,二线,新客
U00059,2023-08-02,付费广告,一线,新客
U00060,2023-03-03,口碑推荐,二线,新客
U00061,2023-05-11,自然搜索,三线,新客
U00062,2023-07-26,自然搜索,四线及以下,新客
U00063,2023-09-26,付费广告,四线及以下,新客
U00064,2023-07-09,自然搜索,二线,新客
U00065,2023-08-11,社交媒体,二线,新客
U00066,2023-02-01,自然搜索,二线,新客
U00067,2024-04-18,内容营销,一线,新客
U00068,2024-11-15,口碑推荐,一线,新客
U00069,2023-05-04,社交媒体,三线,新客
U00070,2023-12-05,社交媒体,一线,新客
U00071,2024-10-19,内容营销,一线,老客带新
U00072,2023-03-03,自然搜索,四线及以下,老客带新
U00073,2023-03-07,内容营销,一线,新客
U00074,2024-03-10,口碑推荐,一线,新客
U00075,2023-03-03,社交媒体,一线,新客
U00076,2023-05-27,社交媒体,二线,新客
U00077,2024-11-05,自然搜索,三线,老客带新
U00078,2023-07-27,付费广告,二线,新客
U00079,2023-09-13,口碑推荐,二线,新客
U00080,2024-03-22,自然搜索,三线,新客
U00081,2023-10-26,口碑推荐,三线,新客
U00082,2024-01-15,自然搜索,四线及以下,新客
U00083,2023-07-17,自然搜索,三线,新客
U00084,2024-07-28,自然搜索,二线,新客
U00085,2023-05-24,自然搜索,一线,新客
U00086,2023-07-13,付费广告,一线,新客
U00087,2024-03-07,自然搜索,一线,新客
U00088,2023-04-14,内容营销,三线,新客
U00089,2023-07-27,社交媒体,三线,新客
U00090,2024-07-16,自然搜索,二线,老客带新
U00091,2023-02-10,社交媒体,一线,新客
U00092,2024-01-21,内容营销,二线,新客
U00093,2024-08-29,社交媒体,四线及以下,新客
U00094,2023-12-09,自然搜索,二线,新客
U00095,2024-08-04,内容营销,三线,新客
U00096,2024-11-19,口碑推荐,三线,新客
U00097,2023-07-01,自然搜索,四线及以下,老客带新
U00098,2023-01-26,自然搜索,三线,新客
U00099,2024-08-06,社交媒体,三线,老客带新
U00100,2023-09-01,自然搜索,一线,老客带新
U00101,2023-07-06,口碑推荐,一线,老客带新
U00102,2023-08-26,付费广告,二线,新客
U00103,2023-09-03,内容营销,一线,新客
U00104,2023-01-20,社交媒体,四线及以下,新客
U00105,2023-10-10,自然搜索,一线,新客
U00106,2024-12-06,自然搜索,四线及以下,新客
U00107,2024-10-16,社交媒体,二线,新客
U00108,2023-09-18,口碑推荐,二线,新客
U00109,2024-05-12,口碑推荐,四线及以下,老客带新
U00110,2024-08-05,付费广告,二线,新客
U00111,2023-07-02,自然搜索,二线,新客
U00112,2023-03-19,自然搜索,一线,新客
U00113,2023-05-18,社交媒体,三线,新客
U00114,2024-12-08,自然搜索,一线,新客
U00115,2024-04-27,付费广告,二线,老客带新
U00116,2023-02-28,社交媒体,二线,新客
U00117,2024-10-15,内容营销,三线,新客
U00118,2023-05-02,付费广告,三线,新客
U00119,2023-01-20,自然搜索,二线,新客
U00120,2023-02-21,社交媒体,二线,新客
U00121,2023-12-23,社交媒体,三线,新客
U00122,2023-06-23,付费广告,二线,新客
U00123,2023-04-24,内容营销,二线,新客
U00124,2023-11-21,口碑推荐,二线,新客
U00125,2024-05-01,自然搜索,四线及以下,新客
U00126,2024-11-26,自然搜索,二线,老客带新
U00127,2024-07-26,付费广告,二线,新客
U00128,2023-06-22,口碑推荐,三线,新客
U00129,2023-11-13,自然搜索,三线,新客
U00130,2024-03-27,社交媒体,一线,老客带新
U00131,2023-09-26,社交媒体,二线,老客带新
U00132,2023-06-16,自然搜索,三线,新客
U00133,2023-03-22,社交媒体,四线及以下,新客
U00134,2023-04-20,内容营销,三线,新客
U00135,2023-03-21,自然搜索,二线,新客
U00136,2024-07-31,付费广告,一线,新客
U00137,2024-08-02,付费广告,四线及以下,新客
U00138,2023-01-09,内容营销,三线,新客
U00139,2023-07-18,内容营销,一线,老客带新
U00140,2023-07-31,付费广告,一线,新客
U00141,2023-11-25,口碑推荐,三线,新客
U00142,2024-06-17,付费广告,二线,新客
U00143,2023-10-01,付费广告,二线,新客
U00144,2023-07-28,付费广告,一线,新客
U00145,2024-04-21,自然搜索,一线,新客
U00146,2024-04-20,付费广告,二线,新客
U00147,2024-08-21,社交媒体,三线,新客
U00148,2024-04-27,自然搜索,二线,新客
U00149,2023-01-17,内容营销,二线,新客
U00150,2023-12-02,自然搜索,一线,新客
U00151,2023-05-28,自然搜索,二线,新客
U00152,2024-10-31,付费广告,一线,新客
U00153,2023-09-01,社交媒体,二线,新客
U00154,2024-07-10,自然搜索,三线,新客
U00155,2024-03-29,付费广告,一线,新客
U00156,2024-08-17,内容营销,一线,新客
U00157,2024-10-16,付费广告,一线,新客
U00158,2023-01-25,付费广告,二线,老客带新
U00159,2024-08-04,口碑推荐,四线及以下,新客
U00160,2024-05-03,自然搜索,一线,新客
U00161,2023-04-07,付费广告,四线及以下,新客
U00162,2023-08-19,付费广告,一线,新客
U00163,2023-03-18,付费广告,三线,新客
U00164,2023-03-27,付费广告,二线,新客
U00165,2024-06-08,自然搜索,三线,新客
U00166,2024-05-27,付费广告,二线,新客
U00167,2024-09-25,自然搜索,二线,老客带新
U00168,2024-04-04,口碑推荐,三线,新客
U00169,2023-04-02,付费广告,三线,新客
U00170,2023-04-02,付费广告,二线,新客
U00171,2024-02-16,内容营销,一线,老客带新
U00172,2024-04-15,社交媒体,一线,新客
U00173,2024-11-29,自然搜索,三线,新客
U00174,2023-07-03,内容营销,二线,老客带新
U00175,2024-04-26,自然搜索,二线,新客
U00176,2024-04-07,自然搜索,三线,新客
U00177,2024-07-16,口碑推荐,四线及以下,新客
U00178,2024-11-13,付费广告,三线,新客
U00179,2024-02-01,付费广告,三线,老客带新
U00180,2023-06-13,自然搜索,三线,新客
U00181,2024-07-16,付费广告,二线,老客带新
U00182,2023-08-26,付费广告,一线,老客带新
U00183,2023-02-21,内容营销,三线,新客
U00184,2023-01-29,自然搜索,二线,新客
U00185,2024-02-26,内容营销,四线及以下,新客
U00186,2023-05-29,社交媒体,一线,新客
U00187,2024-04-14,口碑推荐,一线,新客
U00188,2023-04-04,社交媒体,四线及以下,新客
U00189,2024-05-12,社交媒体,三线,新客
U00190,2023-12-25,付费广告,二线,新客
U00191,2024-02-16,自然搜索,三线,新客
U00192,2023-06-03,自然搜索,三线,老客带新
U00193,2023-09-03,内容营销,二线,新客
U00194,2024-12-08,口碑推荐,一线,老客带新
U00195,2024-02-16,付费广告,三线,新客
U00196,2023-03-30,自然搜索,四线及以下,新客
U00197,2023-01-21,付费广告,一线,新客
U00198,2024-09-15,社交媒体,四线及以下,新客
U00199,2023-01-04,付费广告,四线及以下,新客
U00200,2024-06-19,口碑推荐,二线,新客
U00201,2023-10-20,内容营销,三线,新客
U00202,2023-03-10,自然搜索,二线,新客
U00203,2024-02-19,付费广告,一线,新客
U00204,2024-06-09,付费广告,三线,新客
U00205,2024-10-15,付费广告,四线及以下,新客
U00206,2023-02-27,自然搜索,三线,新客
U00207,2023-09-30,自然搜索,二线,老客带新
U00208,2024-05-03,内容营销,一线,老客带新
U00209,2023-01-10,付费广告,一线,老客带新
U00210,2023-11-19,付费广告,二线,新客
U00211,2024-04-02,内容营销,一线,新客
U00212,2023-10-21,口碑推荐,二线,新客
U00213,2023-03-20,自然搜索,二线,新客
U00214,2024-12-04,社交媒体,三线,新客
U00215,2023-07-25,付费广告,二线,新客
U00216,2023-04-14,口碑推荐,二线,新客
U00217,2024-07-25,社交媒体,二线,新客
U00218,2023-08-13,社交媒体,一线,新客
U00219,2024-04-09,付费广告,一线,新客
U00220,2023-12-16,口碑推荐,一线,新客
U00221,2024-11-06,自然搜索,四线及以下,新客
U00222,2023-02-02,自然搜索,一线,新客
U00223,2024-11-13,付费广告,三线,老客带新
U00224,2024-07-19,自然搜索,四线及以下,新客
U00225,2024-10-18,自然搜索,三线,新客
U00226,2024-10-09,口碑推荐,一线,老客带新
U00227,2024-08-03,内容营销,四线及以下,新客
U00228,2023-06-15,付费广告,一线,新客
U00229,2024-10-03,付费广告,二线,新客
U00230,2023-05-02,付费广告,四线及以下,新客
U00231,2023-08-20,付费广告,三线,新客
U00232,2023-12-09,自然搜索,二线,新客
U00233,2023-05-08,内容营销,一线,新客
U00234,2023-04-07,自然搜索,二线,新客
U00235,2024-01-16,付费广告,二线,老客带新
U00236,2024-02-28,自然搜索,二线,新客
U00237,2024-10-30,内容营销,四线及以下,新客
U00238,2024-08-09,社交媒体,四线及以下,老客带新
U00239,2024-01-14,内容营销,四线及以下,新客
U00240,2023-10-17,口碑推荐,二线,新客
U00241,2024-05-19,付费广告,三线,新客
U00242,2024-07-22,自然搜索,四线及以下,新客
U00243,2024-11-17,社交媒体,四线及以下,新客
U00244,2023-05-27,付费广告,二线,新客
U00245,2024-09-15,社交媒体,一线,新客
U00246,2023-09-10,自然搜索,一线,新客
U00247,2024-08-24,自然搜索,二线,新客
U00248,2023-01-16,付费广告,三线,老客带新
U00249,2023-02-22,社交媒体,三线,新客
U00250,2024-04-20,口碑推荐,一线,新客
U00251,2023-08-12,自然搜索,一线,新客
U00252,2024-08-24,付费广告,二线,新客
U00253,2024-04-02,自然搜索,二线,新客
U00254,2023-05-23,自然搜索,一线,新客
U00255,2024-10-25,付费广告,三线,新客
U00256,2023-12-23,自然搜索,二线,新客
U00257,2024-04-14,自然搜索,三线,新客
U00258,2023-05-23,付费广告,二线,新客
U00259,2024-02-23,付费广告,二线,老客带新
U00260,2023-05-16,自然搜索,二线,新客
U00261,2024-05-09,自然搜索,四线及以下,新客
U00262,2024-07-29,自然搜索,一线,新客
U00263,2023-12-13,自然搜索,三线,新客
U00264,2024-04-16,社交媒体,二线,新客
U00265,2023-07-04,付费广告,四线及以下,新客
U00266,2023-01-06,付费广告,三线,新客
U00267,2024-11-17,付费广告,二线,老客带新
U00268,2023-10-20,社交媒体,三线,新客
U00269,2023-05-05,内容营销,一线,老客带新
U00270,2023-02-20,口碑推荐,四线及以下,新客
U00271,2023-10-24,社交媒体,二线,新客
U00272,2024-07-20,付费广告,二线,新客
U00273,2023-01-25,社交媒体,三线,新客
U00274,2023-05-14,社交媒体,三线,新客
U00275,2023-04-17,自然搜索,一线,新客
U00276,2024-12-07,自然搜索,三线,新客
U00277,2024-10-24,付费广告,二线,新客
U00278,2024-05-23,内容营销,二线,老客带新
U00279,2024-08-17,付费广告,三线,新客
U00280,2023-12-15,社交媒体,二线,老客带新
U00281,2023-03-30,付费广告,二线,新客
U00282,2023-01-02,付费广告,三线,老客带新
U00283,2024-07-05,自然搜索,一线,新客
U00284,2023-05-13,自然搜索,三线,新客
U00285,2023-03-03,口碑推荐,一线,新客
U00286,2023-01-09,社交媒体,一线,新客
U00287,2023-10-09,付费广告,一线,新客
U00288,2023-12-10,口碑推荐,三线,新客
U00289,2023-12-11,自然搜索,三线,新客
U00290,2023-02-19,内容营销,一线,新客
U00291,2024-05-28,付费广告,一线,新客
U00292,2024-11-08,付费广告,四线及以下,新客
U00293,2023-08-25,付费广告,一线,新客
U00294,2023-10-24,自然搜索,四线及以下,老客带新
U00295,2023-02-19,自然搜索,一线,新客
U00296,2023-09-05,社交媒体,三线,新客
U00297,2023-04-27,内容营销,二线,老客带新
U00298,2024-09-10,口碑推荐,四线及以下,新客
U00299,2024-01-07,自然搜索,三线,新客
U00300,2024-11-25,付费广告,二线,新客
U00301,2024-09-17,自然搜索,一线,新客
U00302,2023-04-11,自然搜索,三线,新客
U00303,2023-05-10,社交媒体,三线,新客
U00304,2024-11-24,付费广告,一线,新客
U00305,2024-04-28,自然搜索,一线,新客
U00306,2024-03-30,自然搜索,三线,新客
U00307,2024-06-11,内容营销,一线,老客带新
U00308,2023-07-24,自然搜索,三线,新客
U00309,2024-10-27,付费广告,二线,老客带新
U00310,2023-12-14,付费广告,四线及以下,老客带新
U00311,2024-11-04,自然搜索,四线及以下,新客
U00312,2024-11-16,自然搜索,四线及以下,新客
U00313,2023-03-11,付费广告,一线,新客
U00314,2024-05-12,口碑推荐,四线及以下,老客带新
U00315,2024-08-09,付费广告,一线,新客
U00316,2024-10-05,社交媒体,二线,老客带新
U00317,2024-07-11,内容营销,二线,新客
U00318,2023-04-13,口碑推荐,一线,新客
U00319,2023-09-17,付费广告,四线及以下,新客
U00320,2023-12-06,付费广告,一线,新客
U00321,2023-07-28,社交媒体,三线,新客
U00322,2024-02-15,社交媒体,三线,新客
U00323,2024-07-20,付费广告,三线,新客
U00324,2024-03-12,社交媒体,一线,新客
U00325,2024-08-28,自然搜索,二线,老客带新
U00326,2023-03-14,付费广告,三线,老客带新
U00327,2024-08-20,付费广告,二线,新客
U00328,2024-08-27,自然搜索,二线,新客
U00329,2024-09-15,自然搜索,一线,新客
U00330,2024-04-20,社交媒体,二线,新客
U00331,2023-07-13,付费广告,四线及以下,新客
U00332,2024-09-02,付费广告,二线,新客
U00333,2023-07-14,付费广告,二线,新客
U00334,2023-05-04,付费广告,二线,老客带新
U00335,2024-11-02,自然搜索,二线,新客
U00336,2023-11-15,社交媒体,一线,新客
U00337,2024-03-08,口碑推荐,一线,新客
U00338,2023-09-08,口碑推荐,二线,新客
U00339,2023-12-14,社交媒体,三线,新客
U00340,2023-06-07,付费广告,二线,新客
U00341,2024-02-08,自然搜索,二线,新客
U00342,2023-08-09,付费广告,二线,老客带新
U00343,2023-09-16,自然搜索,一线,新客
U00344,2023-02-05,内容营销,四线及以下,老客带新
U00345,2023-05-07,自然搜索,二线,新客
U00346,2024-07-02,自然搜索,一线,老客带新
U00347,2024-04-08,内容营销,一线,新客
U00348,2023-01-23,内容营销,四线及以下,新客
U00349,2024-08-10,口碑推荐,一线,新客
U00350,2023-07-25,自然搜索,三线,新客
U00351,2023-12-31,自然搜索,一线,新客
U00352,2023-04-07,付费广告,四线及以下,新客
U00353,2024-07-06,自然搜索,四线及以下,新客
U00354,2024-09-29,自然搜索,二线,新客
U00355,2023-10-24,付费广告,一线,老客带新
U00356,2024-07-01,内容营销,一线,新客
U00357,2023-03-15,付费广告,二线,新客
U00358,2024-01-14,社交媒体,二线,新客
U00359,2024-08-21,社交媒体,一线,新客
U00360,2023-08-08,付费广告,一线,新客
U00361,2023-07-01,社交媒体,二线,新客
U00362,2023-03-15,自然搜索,二线,新客
U00363,2024-05-20,自然搜索,一线,新客
U00364,2024-11-22,社交媒体,一线,新客
U00365,2023-06-21,自然搜索,四线及以下,新客
U00366,2023-06-26,内容营销,二线,新客
U00367,2023-12-10,自然搜索,三线,新客
U00368,2024-01-11,社交媒体,二线,新客
U00369,2024-09-08,付费广告,一线,老客带新
U00370,2024-10-13,自然搜索,二线,老客带新
U00371,2023-11-25,自然搜索,二线,新客
U00372,2023-05-05,社交媒体,三线,新客
U00373,2023-03-21,口碑推荐,三线,新客
U00374,2024-08-18,口碑推荐,一线,新客
U00375,2024-06-09,付费广告,四线及以下,新客
U00376,2023-09-15,口碑推荐,二线,新客
U00377,2024-02-10,社交媒体,四线及以下,新客
U00378,2023-01-22,社交媒体,四线及以下,新客
U00379,2024-10-14,付费广告,一线,新客
U00380,2023-03-18,社交媒体,二线,新客
U00381,2024-11-16,口碑推荐,二线,新客
U00382,2023-11-09,付费广告,三线,新客
U00383,2023-10-14,口碑推荐,二线,新客
U00384,2023-08-05,社交媒体,四线及以下,新客
U00385,2023-12-21,自然搜索,三线,新客
U00386,2024-08-31,自然搜索,一线,新客
U00387,2023-04-27,付费广告,一线,新客
U00388,2023-08-25,付费广告,三线,新客
U00389,2024-06-22,口碑推荐,一线,新客
U00390,2023-05-10,自然搜索,三线,新客
U00391,2023-04-28,口碑推荐,二线,新客
U00392,2024-10-09,内容营销,二线,新客
U00393,2023-08-30,自然搜索,一线,老客带新
U00394,2024-09-12,内容营销,三线,老客带新
U00395,2024-01-24,内容营销,一线,新客
U00396,2024-04-08,社交媒体,三线,老客带新
U00397,2024-01-29,口碑推荐,二线,新客
U00398,2023-06-18,内容营销,三线,新客
U00399,2024-06-29,社交媒体,二线,新客
U00400,2024-03-21,付费广告,一线,老客带新
U00401,2023-02-10,口碑推荐,三线,新客
U00402,2024-12-09,社交媒体,一线,新客
U00403,2024-01-01,社交媒体,二线,新客
U00404,2024-11-15,付费广告,一线,新客
U00405,2023-01-23,口碑推荐,三线,新客
U00406,2023-01-19,自然搜索,四线及以下,新客
U00407,2024-03-13,内容营销,二线,新客
U00408,2023-11-18,付费广告,二线,新客
U00409,2024-10-19,自然搜索,三线,新客
U00410,2024-05-08,付费广告,一线,新客
U00411,2023-01-03,自然搜索,四线及以下,新客
U00412,2023-09-01,社交媒体,一线,新客
U00413,2023-01-22,内容营销,四线及以下,新客
U00414,2024-04-18,口碑推荐,三线,新客
U00415,2023-06-28,自然搜索,三线,新客
U00416,2024-04-30,自然搜索,三线,新客
U00417,2023-05-07,口碑推荐,二线,老客带新
U00418,2023-03-23,内容营销,二线,老客带新
U00419,2024-10-27,付费广告,一线,新客
U00420,2024-08-28,付费广告,三线,新客
U00421,2023-10-08,付费广告,三线,老客带新
U00422,2024-07-11,内容营销,四线及以下,老客带新
U00423,2024-09-06,社交媒体,二线,老客带新
U00424,2023-09-12,付费广告,一线,新客
U00425,2023-01-20,付费广告,二线,新客
U00426,2024-01-09,内容营销,三线,新客
U00427,2023-04-02,自然搜索,一线,新客
U00428,2024-05-03,付费广告,一线,新客
U00429,2023-02-28,社交媒体,三线,新客
U00430,2023-08-06,自然搜索,二线,新客
U00431,2023-02-22,自然搜索,二线,新客
U00432,2024-09-25,口碑推荐,二线,新客
U00433,2024-06-06,内容营销,三线,新客
U00434,2023-01-23,口碑推荐,一线,新客
U00435,2023-12-02,内容营销,三线,新客
U00436,2024-05-11,社交媒体,一线,新客
U00437,2024-03-19,口碑推荐,四线及以下,新客
U00438,2024-03-01,付费广告,二线,新客
U00439,2024-09-06,社交媒体,二线,新客
U00440,2023-02-11,内容营销,三线,新客
U00441,2024-07-01,自然搜索,三线,新客
U00442,2023-06-28,付费广告,一线,新客
U00443,2023-02-06,付费广告,三线,新客
U00444,2024-05-27,自然搜索,一线,老客带新
U00445,2024-06-09,自然搜索,四线及以下,新客
U00446,2024-06-26,口碑推荐,三线,新客
U00447,2024-08-18,内容营销,二线,新客
U00448,2023-06-01,付费广告,三线,新客
U00449,2024-12-06,自然搜索,二线,新客
U00450,2024-11-01,自然搜索,一线,老客带新
U00451,2024-07-11,内容营销,四线及以下,新客
U00452,2023-05-05,付费广告,三线,新客
U00453,2023-10-22,付费广告,二线,新客
U00454,2024-05-05,付费广告,二线,新客
U00455,2024-05-23,付费广告,二线,新客
U00456,2024-08-17,付费广告,四线及以下,新客
U00457,2023-05-03,内容营销,一线,新客
U00458,2023-06-21,社交媒体,二线,新客
U00459,2023-02-13,社交媒体,二线,老客带新
U00460,2023-11-08,付费广告,二线,新客
U00461,2024-04-06,社交媒体,二线,新客
U00462,2024-07-09,社交媒体,一线,新客
U00463,2024-11-14,自然搜索,一线,新客
U00464,2024-04-06,社交媒体,一线,新客
U00465,2024-10-08,付费广告,四线及以下,新客
U00466,2023-08-03,口碑推荐,一线,新客
U00467,2023-08-03,付费广告,三线,新客
U00468,2024-12-16,内容营销,三线,新客
U00469,2023-03-05,自然搜索,三线,新客
U00470,2024-06-20,口碑推荐,四线及以下,新客
U00471,2024-07-13,社交媒体,一线,新客
U00472,2024-08-28,口碑推荐,一线,老客带新
U00473,2024-06-22,付费广告,二线,新客
U00474,2023-10-20,付费广告,一线,新客
U00475,2024-08-29,口碑推荐,三线,新客
U00476,2023-01-06,自然搜索,三线,新客
U00477,2023-09-10,自然搜索,四线及以下,新客
U00478,2024-01-28,社交媒体,一线,老客带新
U00479,2024-05-09,付费广告,四线及以下,新客
U00480,2024-01-23,付费广告,一线,老客带新
U00481,2023-09-24,付费广告,二线,新客
U00482,2024-03-21,付费广告,二线,新客
U00483,2024-10-07,口碑推荐,三线,新客
U00484,2024-12-02,社交媒体,二线,新客
U00485,2024-04-12,口碑推荐,四线及以下,新客
U00486,2023-04-02,内容营销,四线及以下,老客带新
U00487,2023-08-16,付费广告,四线及以下,新客
U00488,2023-03-22,自然搜索,一线,老客带新
U00489,2024-03-11,自然搜索,四线及以下,老客带新
U00490,2024-12-13,付费广告,三线,老客带新
U00491,2024-02-21,内容营销,一线,新客
U00492,2024-11-05,付费广告,一线,新客
U00493,2024-11-23,付费广告,一线,新客
U00494,2024-01-22,付费广告,一线,新客
U00495,2024-02-22,社交媒体,二线,新客
U00496,2024-12-10,社交媒体,四线及以下,新客
U00497,2023-07-03,自然搜索,二线,新客
U00498,2024-03-19,内容营销,二线,老客带新
U00499,2024-02-06,付费广告,四线及以下,老客带新
U00500,2024-03-24,自然搜索,一线,新客
U00501,2024-01-14,内容营销,四线及以下,新客
U00502,2023-06-03,自然搜索,二线,新客
U00503,2024-07-09,内容营销,二线,新客
U00504,2024-10-27,内容营销,二线,新客
U00505,2023-10-05,社交媒体,二线,新客
U00506,2024-05-02,口碑推荐,一线,新客
U00507,2024-10-18,付费广告,三线,新客
U00508,2023-12-22,内容营销,一线,新客
U00509,2024-05-08,付费广告,四线及以下,新客
U00510,2024-08-18,社交媒体,二线,老客带新
U00511,2023-04-11,内容营销,一线,新客
U00512,2023-03-11,内容营销,三线,新客
U00513,2024-01-14,口碑推荐,一线,新客
U00514,2024-02-29,付费广告,三线,新客
U00515,2024-03-18,内容营销,四线及以下,新客
U00516,2023-02-15,社交媒体,三线,新客
U00517,2023-08-07,内容营销,一线,新客
U00518,2024-05-07,社交媒体,二线,新客
U00519,2024-07-04,付费广告,三线,新客
U00520,2023-09-03,付费广告,三线,新客
U00521,2023-06-20,社交媒体,一线,新客
U00522,2023-02-27,口碑推荐,二线,新客
U00523,2024-12-18,付费广告,二线,新客
U00524,2024-01-02,社交媒体,一线,新客
U00525,2023-05-26,付费广告,二线,老客带新
U00526,2023-01-22,口碑推荐,二线,新客
U00527,2024-10-13,付费广告,三线,老客带新
U00528,2023-06-06,自然搜索,四线及以下,新客
U00529,2024-11-07,自然搜索,三线,老客带新
U00530,2023-04-12,自然搜索,二线,新客
U00531,2024-12-14,付费广告,一线,新客
U00532,2023-09-21,自然搜索,四线及以下,老客带新
U00533,2023-03-21,自然搜索,四线及以下,新客
U00534,2023-08-04,内容营销,四线及以下,新客
U00535,2023-04-25,内容营销,三线,新客
U00536,2023-06-02,付费广告,二线,新客
U00537,2024-08-21,内容营销,三线,新客
U00538,2023-11-01,自然搜索,二线,新客
U00539,2024-03-02,社交媒体,二线,老客带新
U00540,2024-10-09,社交媒体,三线,新客
U00541,2024-11-27,付费广告,一线,老客带新
U00542,2024-07-19,付费广告,一线,老客带新
U00543,2023-02-15,付费广告,二线,新客
U00544,2023-11-05,付费广告,二线,新客
U00545,2024-07-07,社交媒体,四线及以下,新客
U00546,2023-12-02,自然搜索,一线,新客
U00547,2023-06-26,自然搜索,一线,新客
U00548,2024-09-26,自然搜索,一线,新客
U00549,2024-07-14,付费广告,一线,新客
U00550,2023-01-21,付费广告,一线,新客
U00551,2024-05-07,自然搜索,三线,新客
U00552,2024-02-26,内容营销,二线,新客
U00553,2024-02-01,付费广告,三线,新客
U00554,2023-05-12,自然搜索,四线及以下,新客
U00555,2023-04-14,社交媒体,三线,新客
U00556,2023-10-31,自然搜索,一线,老客带新
U00557,2023-01-07,社交媒体,一线,新客
U00558,2024-06-18,社交媒体,四线及以下,新客
U00559,2023-10-03,自然搜索,二线,新客
U00560,2024-11-01,自然搜索,三线,老客带新
U00561,2023-11-29,付费广告,四线及以下,新客
U00562,2024-01-04,自然搜索,四线及以下,新客
U00563,2023-02-20,自然搜索,四线及以下,老客带新
U00564,2023-01-06,付费广告,二线,新客
U00565,2023-09-15,付费广告,二线,新客
U00566,2023-09-09,付费广告,四线及以下,新客
U00567,2024-03-20,社交媒体,二线,老客带新
U00568,2023-06-23,社交媒体,一线,新客
U00569,2023-03-19,自然搜索,三线,新客
U00570,2023-05-29,自然搜索,二线,新客
U00571,2023-12-15,内容营销,四线及以下,新客
U00572,2024-02-16,社交媒体,三线,新客
U00573,2024-12-02,内容营销,二线,新客
U00574,2023-08-31,付费广告,四线及以下,新客
U00575,2023-11-30,社交媒体,三线,新客
U00576,2023-03-03,付费广告,三线,新客
U00577,2023-08-21,付费广告,一线,新客
U00578,2023-08-10,付费广告,二线,新客
U00579,2023-09-03,付费广告,三线,新客
U00580,2024-02-23,自然搜索,一线,新客
U00581,2023-03-23,付费广告,一线,新客
U00582,2023-05-06,口碑推荐,三线,新客
U00583,2024-07-21,内容营销,二线,新客
U00584,2024-02-21,付费广告,二线,新客
U00585,2023-04-26,付费广告,一线,新客
U00586,2024-01-06,自然搜索,二线,新客
U00587,2024-06-02,社交媒体,三线,老客带新
U00588,2023-08-06,付费广告,一线,新客
U00589,2023-08-13,内容营销,一线,新客
U00590,2024-06-30,付费广告,三线,老客带新
U00591,2023-01-24,付费广告,四线及以下,新客
U00592,2024-02-26,社交媒体,三线,新客
U00593,2024-04-26,口碑推荐,一线,新客
U00594,2024-03-19,付费广告,二线,新客
U00595,2023-02-14,付费广告,四线及以下,新客
