user_id,register_date,country,channel,device,age_group,gender
U00131,2023-02-03,泰国,社交媒体,Android,45+,男
U00132,2023-01-03,泰国,内容营销,Android,18-24,男
U00133,2024-12-15,越南,付费广告,iOS,35-44,男
U00134,2024-04-20,马来西亚,社交媒体,iOS,18-24,男
U00135,2023-02-20,越南,自然搜索,Android,18-24,男
U00136,2024-04-15,印尼,付费广告,iOS,25-34,女
U00137,2023-07-25,印尼,内容营销,Android,25-34,男
U00138,2023-05-05,越南,付费广告,Android,35-44,女
U00139,2024-09-26,马来西亚,付费广告,iOS,25-34,男
U00140,2023-09-23,马来西亚,自然搜索,Android,25-34,女
U00141,2024-02-19,越南,社交媒体,iOS,45+,女
U00142,2024-06-09,印尼,社交媒体,Android,25-34,男
U00143,2023-03-11,越南,付费广告,Android,18-24,女
U00144,2024-12-15,越南,内容营销,Android,18-24,女
U00145,2023-04-21,泰国,自然搜索,iOS,25-34,男
U00146,2024-12-05,印尼,付费广告,Android,35-44,女
U00147,2024-06-22,印尼,内容营销,Android,18-24,男
U00148,2024-11-12,泰国,付费广告,iOS,18-24,男
U00149,2023-01-26,越南,付费广告,Android,18-24,女
U00150,2024-10-20,马来西亚,付费广告,Android,25-34,男
U00151,2023-02-09,泰国,KOL推荐,Android,18-24,女
U00152,2024-10-25,泰国,自然搜索,Android,18-24,女
U00153,2024-06-05,印尼,内容营销,iOS,25-34,女
U00154,2024-10-14,马来西亚,KOL推荐,Android,35-44,女
U00155,2023-11-21,泰国,自然搜索,iOS,25-34,女
U00156,2024-10-03,印尼,社交媒体,iOS,25-34,男
U00157,2023-09-02,菲律宾,付费广告,iOS,18-24,男
U00158,2024-02-28,泰国,付费广告,iOS,45+,女
U00159,2023-02-21,印尼,KOL推荐,iOS,25-34,女
U00160,2023-10-19,越南,内容营销,Android,45+,女
U00161,2023-02-16,印尼,自然搜索,Android,45+,女
U00162,2023-06-12,印尼,付费广告,Android,35-44,男
U00163,2024-10-07,印尼,付费广告,iOS,18-24,女
U00164,2023-04-08,泰国,付费广告,iOS,25-34,女
U00165,2024-07-10,菲律宾,付费广告,Android,18-24,女
U00166,2023-01-05,越南,自然搜索,Android,35-44,男
U00167,2023-06-27,泰国,社交媒体,Android,35-44,女
U00168,2024-07-18,泰国,付费广告,iOS,45+,男
U00169,2024-07-19,印尼,自然搜索,Android,25-34,女
U00170,2024-11-01,印尼,KOL推荐,iOS,25-34,男
U00171,2024-08-11,泰国,KOL推荐,Android,25-34,男
U00172,2023-03-10,印尼,付费广告,Android,25-34,男
U00173,2023-07-17,泰国,付费广告,Android,25-34,男
U00174,2024-12-26,印尼,社交媒体,Android,25-34,女
U00175,2024-04-07,泰国,付费广告,iOS,45+,男
U00176,2024-01-12,印尼,自然搜索,Android,25-34,女
U00177,2023-12-08,越南,社交媒体,Android,35-44,女
U00178,2023-08-13,马来西亚,自然搜索,Android,35-44,男
U00179,2023-11-25,泰国,自然搜索,iOS,25-34,女
U00180,2023-01-25,越南,自然搜索,Android,25-34,女
U00181,2024-05-19,泰国,自然搜索,Android,25-34,女
U00182,2024-01-23,马来西亚,自然搜索,iOS,25-34,女
U00183,2024-03-24,菲律宾,内容营销,iOS,18-24,男
U00184,2023-12-21,越南,付费广告,iOS,25-34,女
U00185,2024-05-03,印尼,自然搜索,Android,45+,男
U00186,2023-07-02,菲律宾,自然搜索,iOS,18-24,女
U00187,2023-02-25,印尼,内容营销,Android,35-44,女
U00188,2023-06-04,印尼,付费广告,Android,35-44,男
U00189,2024-04-15,泰国,付费广告,Android,25-34,女
U00190,2023-10-14,泰国,内容营销,Android,25-34,男
U00191,2023-09-15,菲律宾,付费广告,iOS,35-44,男
U00192,2023-07-07,马来西亚,付费广告,Android,25-34,女
U00193,2023-08-19,印尼,自然搜索,Android,18-24,女
U00194,2024-06-17,越南,付费广告,Android,45+,男
U00195,2024-06-19,越南,付费广告,Android,25-34,男
U00196,2024-09-08,印尼,社交媒体,Android,35-44,女
U00197,2024-01-27,菲律宾,付费广告,iOS,25-34,男
U00198,2023-11-19,菲律宾,社交媒体,Android,18-24,男
U00199,2023-07-27,菲律宾,自然搜索,Android,45+,女
U00200,2023-05-05,印尼,自然搜索,Android,35-44,女
U00201,2023-08-10,泰国,付费广告,Android,18-24,男
U00202,2023-05-26,泰国,内容营销,iOS,45+,女
U00203,2024-03-23,菲律宾,付费广告,Android,35-44,男
U00204,2024-04-28,印尼,社交媒体,Android,25-34,男
U00205,2023-10-24,泰国,付费广告,iOS,25-34,女
U00206,2023-08-19,泰国,自然搜索,Android,18-24,女
U00207,2023-04-14,印尼,自然搜索,iOS,25-34,男
U00208,2023-08-21,泰国,付费广告,Android,18-24,男
U00209,2024-02-12,泰国,自然搜索,iOS,25-34,男
U00210,2023-01-23,印尼,自然搜索,Android,25-34,男
U00211,2024-07-18,印尼,KOL推荐,iOS,35-44,女
U00212,2023-12-10,印尼,自然搜索,Android,35-44,女
U00213,2024-09-01,泰国,社交媒体,iOS,18-24,女
U00214,2024-02-09,印尼,付费广告,iOS,35-44,女
U00215,2024-03-21,泰国,付费广告,Android,25-34,女
U00216,2024-10-23,越南,社交媒体,iOS,25-34,男
U00217,2024-02-09,印尼,付费广告,Android,18-24,女
U00218,2023-11-05,印尼,付费广告,Android,35-44,女
U00219,2023-12-16,菲律宾,社交媒体,Android,45+,男
U00220,2024-08-28,印尼,内容营销,Android,35-44,女
U00221,2023-03-05,印尼,自然搜索,iOS,45+,女
U00222,2024-07-05,泰国,自然搜索,iOS,25-34,男
U00223,2024-12-18,越南,内容营销,Android,35-44,男
U00224,2023-04-24,越南,付费广告,iOS,25-34,女
U00225,2024-03-05,泰国,社交媒体,Android,18-24,女
U00226,2023-08-16,马来西亚,付费广告,iOS,35-44,女
U00227,2024-10-01,越南,自然搜索,Android,35-44,男
U00228,2023-05-26,菲律宾,社交媒体,iOS,18-24,女
U00229,2024-06-16,印尼,付费广告,Android,18-24,男
U00230,2024-11-10,菲律宾,自然搜索,iOS,18-24,男
U00231,2023-04-18,印尼,付费广告,iOS,25-34,男
U00232,2024-05-21,印尼,KOL推荐,Android,18-24,女
U00233,2024-01-08,印尼,社交媒体,iOS,18-24,男
U00234,2023-08-12,泰国,自然搜索,Android,25-34,男
U00235,2024-06-06,印尼,付费广告,Android,45+,男
U00236,2023-07-26,越南,社交媒体,iOS,35-44,男
U00237,2024-05-05,泰国,KOL推荐,Android,25-34,男
U00238,2024-10-23,印尼,社交媒体,Android,45+,女
U00239,2024-07-08,泰国,自然搜索,Android,25-34,女
U00240,2024-07-27,马来西亚,社交媒体,Android,25-34,女
U00241,2023-08-25,马来西亚,社交媒体,Android,25-34,女
U00242,2024-09-27,马来西亚,自然搜索,iOS,25-34,男
U00243,2024-07-07,越南,付费广告,iOS,18-24,女
U00244,2023-03-06,泰国,付费广告,Android,25-34,男
U00245,2023-08-18,马来西亚,社交媒体,iOS,25-34,女
U00246,2024-03-24,越南,自然搜索,iOS,25-34,女
U00247,2024-05-04,马来西亚,社交媒体,Android,35-44,女
U00248,2023-07-17,马来西亚,内容营销,Android,25-34,男
U00249,2024-10-26,菲律宾,KOL推荐,iOS,35-44,男
U00250,2023-06-13,越南,内容营销,iOS,25-34,男
U00251,2023-07-09,越南,内容营销,iOS,45+,女
U00252,2024-11-19,菲律宾,自然搜索,iOS,25-34,女
U00253,2024-08-13,越南,社交媒体,iOS,45+,女
U00254,2024-03-17,泰国,付费广告,iOS,35-44,男
U00255,2023-05-23,印尼,内容营销,Android,25-34,女
U00256,2024-07-06,马来西亚,付费广告,Android,35-44,女
U00257,2023-12-15,印尼,内容营销,iOS,18-24,男
U00258,2024-03-03,印尼,社交媒体,iOS,45+,男
U00259,2023-04-05,泰国,KOL推荐,Android,18-24,女
U00260,2023-06-06,印尼,自然搜索,iOS,25-34,女
U00261,2024-05-28,马来西亚,自然搜索,Android,25-34,男
U00262,2023-08-19,泰国,KOL推荐,Android,25-34,男
U00263,2024-08-24,印尼,自然搜索,Android,25-34,女
U00264,2024-09-22,菲律宾,KOL推荐,iOS,45+,男
U00265,2024-01-15,印尼,自然搜索,Android,25-34,男
U00266,2024-05-24,印尼,社交媒体,Android,45+,女
U00267,2024-09-17,印尼,付费广告,Android,25-34,女
U00268,2024-11-02,越南,社交媒体,Android,18-24,女
U00269,2024-10-03,越南,社交媒体,iOS,18-24,女
U00270,2024-10-09,菲律宾,付费广告,iOS,35-44,女
U00271,2023-06-01,菲律宾,自然搜索,Android,18-24,女
U00272,2024-10-19,菲律宾,自然搜索,Android,25-34,女
U00273,2023-04-13,马来西亚,社交媒体,Android,18-24,男
U00274,2024-08-25,印尼,付费广告,Android,25-34,男
U00275,2023-08-23,印尼,社交媒体,iOS,35-44,男
U00276,2023-05-10,菲律宾,付费广告,iOS,25-34,女
U00277,2024-08-19,印尼,付费广告,Android,18-24,女
U00278,2023-12-01,印尼,付费广告,iOS,18-24,男
U00279,2023-09-24,菲律宾,自然搜索,Android,25-34,男
U00280,2024-04-17,菲律宾,付费广告,iOS,18-24,男
U00281,2024-06-14,越南,内容营销,Android,25-34,男
U00282,2024-05-01,越南,内容营销,Android,25-34,女
U00283,2024-09-15,泰国,付费广告,Android,18-24,女
U00284,2024-07-02,印尼,社交媒体,iOS,25-34,男
U00285,2024-12-24,泰国,KOL推荐,Android,25-34,男
U00286,2024-02-22,越南,付费广告,Android,25-34,男
U00287,2023-02-27,印尼,自然搜索,Android,25-34,女
U00288,2024-03-01,越南,自然搜索,iOS,25-34,女
U00289,2024-10-01,印尼,付费广告,iOS,25-34,女
U00290,2023-12-22,泰国,内容营销,iOS,35-44,女
U00291,2024-03-26,泰国,社交媒体,iOS,18-24,女
U00292,2024-06-15,菲律宾,自然搜索,Android,25-34,女
U00293,2023-07-12,越南,自然搜索,Android,25-34,女
U00294,2023-10-02,泰国,KOL推荐,iOS,25-34,男
U00295,2023-02-06,印尼,KOL推荐,iOS,35-44,女
U00296,2024-08-06,菲律宾,社交媒体,iOS,25-34,女
U00297,2024-12-27,泰国,社交媒体,Android,25-34,女
U00298,2023-10-03,印尼,自然搜索,Android,35-44,男
U00299,2024-04-05,泰国,KOL推荐,Android,35-44,男
U00300,2023-05-10,泰国,KOL推荐,iOS,45+,男
U00301,2024-11-13,印尼,付费广告,Android,25-34,男
U00302,2024-12-03,印尼,社交媒体,iOS,35-44,女
U00303,2024-06-19,印尼,自然搜索,iOS,18-24,女
U00304,2023-06-27,印尼,自然搜索,Android,25-34,女
U00305,2024-08-27,马来西亚,自然搜索,Android,18-24,女
U00306,2023-01-10,印尼,自然搜索,iOS,18-24,女
U00307,2023-10-25,越南,付费广告,iOS,25-34,女
U00308,2024-10-01,菲律宾,付费广告,iOS,35-44,男
U00309,2024-07-11,越南,付费广告,iOS,25-34,女
U00310,2024-01-17,越南,付费广告,Android,35-44,男
U00311,2024-08-18,泰国,付费广告,Android,25-34,女
U00312,2023-04-15,泰国,自然搜索,iOS,25-34,女
U00313,2023-02-06,马来西亚,社交媒体,iOS,18-24,女
U00314,2024-10-27,菲律宾,付费广告,iOS,25-34,男
U00315,2024-11-09,印尼,付费广告,Android,25-34,男
U00316,2023-11-25,越南,内容营销,iOS,25-34,男
U00317,2024-08-16,泰国,社交媒体,Android,18-24,女
U00318,2023-08-28,泰国,内容营销,iOS,18-24,女
U00319,2024-05-23,越南,付费广告,Android,35-44,男
U00320,2024-11-26,印尼,自然搜索,Android,25-34,女
U00321,2023-04-07,印尼,社交媒体,Android,25-34,男
U00322,2023-11-27,印尼,自然搜索,Android,18-24,女
U00323,2023-11-11,越南,付费广告,Android,25-34,男
U00324,2024-09-21,马来西亚,自然搜索,Android,35-44,男
U00325,2024-03-05,印尼,KOL推荐,iOS,35-44,女
U00326,2023-06-23,印尼,自然搜索,iOS,35-44,女
U00327,2023-05-09,印尼,内容营销,iOS,18-24,男
U00328,2023-11-25,越南,内容营销,Android,35-44,女
U00329,2024-11-26,泰国,付费广告,Android,18-24,女
U00330,2023-03-20,越南,社交媒体,iOS,25-34,女
U00331,2023-04-23,菲律宾,社交媒体,Android,18-24,女
U00332,2024-03-18,泰国,KOL推荐,Android,35-44,女
U00333,2023-05-11,泰国,付费广告,Android,25-34,女
U00334,2023-11-04,泰国,KOL推荐,Android,25-34,女
U00335,2024-04-26,泰国,付费广告,Android,35-44,女
U00336,2023-11-25,菲律宾,内容营销,iOS,18-24,女
U00337,2023-01-26,印尼,付费广告,iOS,25-34,女
U00338,2024-01-19,印尼,付费广告,Android,25-34,女
U00339,2023-06-27,泰国,KOL推荐,iOS,25-34,男
U00340,2024-08-19,印尼,KOL推荐,iOS,35-44,女
U00341,2023-06-13,印尼,社交媒体,Android,18-24,女
U00342,2023-11-19,泰国,自然搜索,Android,35-44,男
U00343,2023-07-12,越南,付费广告,Android,25-34,男
U00344,2024-04-01,越南,内容营销,iOS,35-44,女
U00345,2024-03-13,印尼,KOL推荐,Android,25-34,女
U00346,2023-10-18,印尼,KOL推荐,iOS,45+,男
U00347,2023-04-22,泰国,自然搜索,iOS,18-24,男
U00348,2023-06-27,越南,付费广告,Android,35-44,女
U00349,2023-08-24,印尼,社交媒体,iOS,25-34,男
U00350,2024-08-22,印尼,KOL推荐,iOS,18-24,女
U00351,2023-09-23,菲律宾,自然搜索,Android,18-24,女
U00352,2023-08-24,印尼,内容营销,iOS,35-44,女
U00353,2024-06-07,泰国,付费广告,Android,18-24,男
U00354,2024-07-23,泰国,自然搜索,Android,18-24,男
U00355,2024-06-01,印尼,付费广告,Android,45+,女
U00356,2023-11-09,泰国,付费广告,iOS,35-44,女
U00357,2023-10-10,印尼,付费广告,Android,18-24,男
U00358,2023-01-27,马来西亚,自然搜索,iOS,25-34,男
U00359,2024-05-27,印尼,自然搜索,Android,25-34,女
U00360,2023-12-12,越南,KOL推荐,iOS,35-44,女
U00361,2024-07-17,印尼,自然搜索,iOS,35-44,女
U00362,2023-07-23,越南,自然搜索,Android,35-44,男
U00363,2023-11-24,印尼,付费广告,iOS,18-24,男
U00364,2023-02-16,马来西亚,付费广告,iOS,25-34,男
U00365,2024-11-09,越南,KOL推荐,iOS,18-24,男
U00366,2023-10-21,马来西亚,付费广告,Android,18-24,女
U00367,2023-10-03,马来西亚,KOL推荐,iOS,35-44,女
U00368,2024-05-28,泰国,社交媒体,iOS,18-24,男
U00369,2024-02-19,泰国,自然搜索,iOS,25-34,女
U00370,2024-06-18,泰国,自然搜索,Android,35-44,女
U00371,2024-02-03,泰国,付费广告,Android,25-34,女
U00372,2023-10-23,泰国,付费广告,iOS,18-24,女
U00373,2024-01-22,印尼,社交媒体,iOS,35-44,女
U00374,2023-12-09,泰国,社交媒体,iOS,45+,女
U00375,2023-10-19,越南,付费广告,iOS,35-44,男
U00376,2024-04-21,菲律宾,自然搜索,iOS,25-34,男
U00377,2023-03-12,泰国,自然搜索,Android,18-24,女
U00378,2023-08-25,菲律宾,社交媒体,Android,18-24,女
U00379,2024-03-11,越南,付费广告,Android,35-44,男
U00380,2024-11-13,泰国,付费广告,iOS,18-24,女
U00381,2023-06-13,印尼,自然搜索,Android,35-44,男
U00382,2023-11-06,印尼,社交媒体,Android,25-34,女
U00383,2023-06-05,菲律宾,内容营销,Android,25-34,女
U00384,2023-07-23,印尼,付费广告,Android,35-44,女
U00385,2024-11-19,菲律宾,付费广告,iOS,35-44,女
U00386,2023-11-06,越南,内容营销,iOS,25-34,女
U00387,2023-09-20,泰国,付费广告,Android,45+,男
U00388,2024-06-08,菲律宾,社交媒体,iOS,45+,女
U00389,2024-06-05,菲律宾,自然搜索,iOS,45+,男
U00390,2023-06-02,马来西亚,社交媒体,iOS,35-44,女
U00391,2024-10-24,越南,自然搜索,iOS,35-44,女
U00392,2023-04-19,越南,内容营销,Android,35-44,女
U00393,2023-04-16,菲律宾,社交媒体,iOS,18-24,女
U00394,2023-01-16,越南,KOL推荐,iOS,18-24,女
U00395,2023-01-24,马来西亚,社交媒体,Android,18-24,男
U00396,2024-05-05,菲律宾,社交媒体,Android,18-24,女
U00397,2024-04-25,越南,付费广告,Android,25-34,男
U00398,2023-03-10,菲律宾,内容营销,iOS,18-24,男
U00399,2024-06-21,菲律宾,内容营销,Android,45+,男
U00400,2024-06-26,泰国,付费广告,Android,35-44,女
U00401,2024-05-11,马来西亚,内容营销,Android,18-24,女
U00402,2023-09-11,印尼,社交媒体,iOS,18-24,男
U00403,2023-09-17,菲律宾,付费广告,Android,35-44,男
U00404,2024-08-05,越南,付费广告,Android,35-44,女
U00405,2023-12-18,菲律宾,自然搜索,Android,45+,女
U00406,2024-04-09,越南,自然搜索,iOS,45+,女
U00407,2023-08-06,泰国,自然搜索,iOS,45+,女
U00408,2024-05-14,马来西亚,付费广告,Android,25-34,女
U00409,2024-09-24,泰国,付费广告,Android,18-24,女
U00410,2024-02-04,越南,付费广告,iOS,35-44,女
U00411,2023-08-22,马来西亚,内容营销,Android,18-24,女
U00412,2024-05-01,马来西亚,付费广告,Android,35-44,男
U00413,2023-03-17,印尼,付费广告,Android,25-34,女
U00414,2024-08-03,印尼,自然搜索,Android,35-44,女
U00415,2023-07-11,越南,自然搜索,iOS,18-24,男
U00416,2024-03-07,越南,KOL推荐,Android,25-34,女
U00417,2023-05-17,越南,社交媒体,Android,25-34,女
U00418,2023-05-01,印尼,KOL推荐,Android,45+,女
U00419,2024-10-24,菲律宾,自然搜索,iOS,18-24,男
U00420,2023-07-17,菲律宾,社交媒体,Android,45+,女
U00421,2023-08-12,菲律宾,付费广告,iOS,35-44,男
U00422,2023-02-17,泰国,自然搜索,iOS,35-44,男
U00423,2024-10-28,印尼,自然搜索,Android,35-44,女
U00424,2024-08-14,泰国,自然搜索,Android,25-34,女
U00425,2024-11-03,印尼,付费广告,Android,18-24,女
U00426,2024-07-14,越南,自然搜索,iOS,18-24,女
U00427,2023-08-07,菲律宾,内容营销,Android,35-44,女
U00428,2023-05-03,越南,付费广告,iOS,35-44,女
U00429,2023-01-27,泰国,自然搜索,Android,18-24,男
U00430,2024-07-15,泰国,自然搜索,iOS,25-34,女
U00431,2023-01-05,菲律宾,社交媒体,Android,25-34,女
U00432,2024-08-11,印尼,自然搜索,Android,18-24,女
U00433,2024-02-22,泰国,内容营销,iOS,25-34,男
U00434,2024-06-20,泰国,内容营销,iOS,18-24,男
U00435,2023-09-15,印尼,自然搜索,Android,18-24,男
U00436,2023-11-05,泰国,付费广告,Android,25-34,女
U00437,2024-03-24,菲律宾,自然搜索,Android,25-34,女
U00438,2023-02-12,印尼,社交媒体,Android,18-24,女
U00439,2024-11-07,泰国,付费广告,iOS,25-34,男
U00440,2023-02-08,泰国,付费广告,iOS,18-24,男
U00441,2023-09-26,马来西亚,自然搜索,iOS,18-24,男
U00442,2023-05-15,越南,社交媒体,iOS,18-24,男
U00443,2024-07-19,越南,付费广告,Android,18-24,女
U00444,2024-01-13,菲律宾,自然搜索,iOS,18-24,女
U00445,2023-06-01,马来西亚,社交媒体,Android,35-44,男
U00446,2023-10-27,马来西亚,社交媒体,Android,25-34,男
U00447,2023-06-25,菲律宾,内容营销,Android,18-24,男
U00448,2023-03-26,越南,自然搜索,Android,18-24,男
U00449,2024-01-19,泰国,KOL推荐,iOS,18-24,女
U00450,2023-10-13,菲律宾,社交媒体,Android,35-44,女
U00451,2023-07-15,印尼,自然搜索,iOS,25-34,女
U00452,2024-11-04,越南,社交媒体,iOS,18-24,女
U00453,2023-11-08,马来西亚,付费广告,Android,25-34,男
U00454,2023-02-01,泰国,内容营销,iOS,25-34,男
U00455,2023-01-16,印尼,自然搜索,Android,18-24,男
U00456,2024-06-11,泰国,社交媒体,Android,25-34,女
U00457,2024-10-08,越南,付费广告,Android,25-34,女
U00458,2024-07-12,泰国,内容营销,iOS,18-24,女
U00459,2023-06-24,泰国,付费广告,Android,35-44,男
