user_id,event_type,event_date,page_id,duration_seconds
U00039,register,2023-08-09,page_019,17
U00039,app_open,2023-08-09,page_044,58
U00039,browse,2023-08-09,page_035,169
U00040,register,2024-12-17,page_079,9
U00040,app_open,2024-12-17,page_081,56
U00040,share,2025-01-04,page_071,17
U00041,register,2024-12-08,page_040,6
U00041,app_open,2024-12-08,page_066,50
U00041,browse,2024-12-08,page_027,67
U00041,add_to_cart,2024-12-08,page_083,24
U00042,register,2024-09-14,page_016,9
U00043,register,2024-10-16,page_064,7
U00043,app_open,2024-10-16,page_032,19
U00043,browse,2024-10-16,page_008,46
U00043,share,2024-10-20,page_029,23
U00044,register,2024-06-17,page_047,15
U00045,register,2024-12-07,page_051,6
U00045,app_open,2024-12-07,page_049,21
U00046,register,2024-08-15,page_011,18
U00046,app_open,2024-08-15,page_035,46
U00047,register,2023-07-02,page_040,6
U00047,app_open,2023-07-02,page_075,50
U00047,browse,2023-07-02,page_058,277
U00047,share,2023-07-15,page_011,29
U00048,register,2023-02-07,page_059,5
U00049,register,2024-07-06,page_035,17
U00049,app_open,2024-07-06,page_071,24
U00050,register,2023-12-15,page_012,29
U00050,app_open,2023-12-15,page_003,18
U00051,register,2024-01-07,page_069,14
U00051,app_open,2024-01-07,page_077,45
U00052,register,2023-07-15,page_043,24
U00053,register,2023-04-03,page_090,7
U00053,app_open,2023-04-03,page_068,53
U00053,browse,2023-04-03,page_044,44
U00053,add_to_cart,2023-04-03,page_046,59
U00053,share,2023-04-21,page_003,9
U00054,register,2023-01-07,page_072,16
U00055,register,2023-09-01,page_076,12
U00055,app_open,2023-09-01,page_090,56
U00056,register,2023-05-15,page_051,23
U00056,app_open,2023-05-15,page_083,15
U00056,browse,2023-05-15,page_025,232
U00057,register,2023-04-10,page_025,18
U00057,app_open,2023-04-10,page_092,29
U00057,browse,2023-04-10,page_030,186
U00058,register,2023-02-23,page_086,23
U00058,app_open,2023-02-23,page_015,41
U00058,browse,2023-02-23,page_071,123
U00059,register,2023-07-24,page_052,12
U00059,app_open,2023-07-24,page_091,18
U00059,browse,2023-07-24,page_089,215
U00059,add_to_cart,2023-07-24,page_014,58
U00060,register,2024-07-06,page_022,21
U00060,app_open,2024-07-06,page_005,14
U00061,register,2024-03-20,page_038,6
U00062,register,2023-12-11,page_025,17
U00062,app_open,2023-12-11,page_098,40
U00062,browse,2023-12-11,page_061,127
U00062,add_to_cart,2023-12-11,page_068,97
U00063,register,2023-03-20,page_019,20
U00063,app_open,2023-03-20,page_086,17
U00063,browse,2023-03-20,page_097,147
U00064,register,2024-05-07,page_075,6
U00065,register,2024-11-23,page_069,18
U00065,app_open,2024-11-23,page_079,43
U00066,register,2024-06-17,page_068,13
U00066,app_open,2024-06-17,page_048,25
U00066,browse,2024-06-17,page_002,141
U00066,add_to_cart,2024-06-17,page_003,68
U00067,register,2024-04-25,page_077,17
U00067,app_open,2024-04-25,page_036,40
U00067,browse,2024-04-25,page_091,44
U00067,add_to_cart,2024-04-25,page_084,35
U00068,register,2023-02-05,page_049,25
U00068,app_open,2023-02-05,page_036,29
U00068,browse,2023-02-05,page_013,147
U00068,add_to_cart,2023-02-05,page_095,69
U00069,register,2024-09-13,page_044,17
U00069,app_open,2024-09-13,page_049,40
U00069,browse,2024-09-13,page_027,257
U00070,register,2023-11-24,page_040,22
U00070,app_open,2023-11-24,page_046,44
U00070,browse,2023-11-24,page_046,109
U00071,register,2023-01-27,page_080,11
U00071,app_open,2023-01-27,page_030,38
U00072,register,2024-11-03,page_036,17
U00072,app_open,2024-11-03,page_003,12
U00072,browse,2024-11-03,page_097,37
U00073,register,2024-06-21,page_064,7
U00073,app_open,2024-06-21,page_011,16
U00073,browse,2024-06-21,page_062,88
U00074,register,2023-04-09,page_031,14
U00075,register,2023-11-17,page_074,28
U00075,app_open,2023-11-17,page_017,33
U00075,browse,2023-11-17,page_069,152
U00076,register,2023-11-03,page_093,25
U00077,register,2024-07-20,page_006,15
U00077,app_open,2024-07-20,page_083,44
U00077,browse,2024-07-20,page_041,296
U00077,add_to_cart,2024-07-20,page_028,87
U00078,register,2024-11-21,page_088,18
U00079,register,2023-11-26,page_006,23
U00080,register,2024-02-06,page_078,10
U00080,app_open,2024-02-06,page_082,33
U00080,browse,2024-02-06,page_053,220
U00080,add_to_cart,2024-02-06,page_078,98
U00080,share,2024-02-25,page_077,12
U00081,register,2024-07-21,page_078,15
U00081,app_open,2024-07-21,page_066,57
U00081,browse,2024-07-21,page_093,223
U00081,add_to_cart,2024-07-21,page_026,23
U00082,register,2024-03-28,page_030,12
U00082,app_open,2024-03-28,page_012,50
U00082,browse,2024-03-28,page_033,140
U00082,add_to_cart,2024-03-28,page_048,44
U00083,register,2023-11-18,page_050,17
U00083,app_open,2023-11-18,page_052,17
U00083,browse,2023-11-18,page_048,212
U00084,register,2023-04-28,page_029,16
U00084,app_open,2023-04-28,page_097,30
U00084,browse,2023-04-28,page_008,63
U00084,share,2023-05-16,page_087,8
U00085,register,2024-07-03,page_053,7
U00085,app_open,2024-07-03,page_025,56
U00085,browse,2024-07-03,page_021,169
U00086,register,2023-12-04,page_036,15
U00086,app_open,2023-12-04,page_009,15
U00086,browse,2023-12-04,page_021,207
U00087,register,2024-12-12,page_058,25
U00087,app_open,2024-12-12,page_002,38
U00087,browse,2024-12-12,page_006,224
U00087,add_to_cart,2024-12-12,page_077,93
U00088,register,2024-12-01,page_042,17
U00089,register,2024-04-21,page_041,27
U00089,app_open,2024-04-21,page_030,51
U00090,register,2023-02-26,page_013,28
U00090,app_open,2023-02-26,page_059,20
U00091,register,2024-10-03,page_092,10
U00091,app_open,2024-10-03,page_015,17
U00092,register,2024-04-26,page_079,5
U00093,register,2023-10-09,page_053,19
U00093,app_open,2023-10-09,page_060,29
U00093,browse,2023-10-09,page_097,243
U00094,register,2024-02-25,page_098,18
U00094,app_open,2024-02-25,page_094,30
U00094,browse,2024-02-25,page_014,43
U00094,add_to_cart,2024-02-25,page_028,73
U00095,register,2023-08-02,page_040,16
U00095,app_open,2023-08-02,page_035,46
U00095,share,2023-08-24,page_098,13
U00096,register,2023-11-02,page_093,29
U00096,app_open,2023-11-02,page_071,51
U00097,register,2024-03-18,page_015,21
U00097,app_open,2024-03-18,page_046,54
U00097,browse,2024-03-18,page_016,149
U00098,register,2023-05-28,page_009,20
U00098,app_open,2023-05-28,page_015,21
U00098,browse,2023-05-28,page_089,256
U00099,register,2023-07-23,page_011,24
U00099,app_open,2023-07-23,page_065,59
U00099,browse,2023-07-23,page_008,221
U00099,add_to_cart,2023-07-23,page_087,99
U00100,register,2024-07-19,page_012,20
U00100,app_open,2024-07-19,page_050,16
U00100,browse,2024-07-19,page_011,293
U00101,register,2024-04-19,page_067,14
U00101,app_open,2024-04-19,page_031,55
U00101,browse,2024-04-19,page_080,70
U00101,add_to_cart,2024-04-19,page_058,83
U00102,register,2024-05-13,page_084,13
U00102,app_open,2024-05-13,page_094,29
U00102,browse,2024-05-13,page_011,192
U00103,register,2023-08-28,page_056,22
U00103,app_open,2023-08-28,page_033,30
U00103,browse,2023-08-28,page_085,217
U00103,add_to_cart,2023-08-28,page_091,86
U00104,register,2023-11-18,page_007,22
U00104,app_open,2023-11-18,page_009,38
U00104,browse,2023-11-18,page_072,145
U00104,add_to_cart,2023-11-18,page_098,112
U00105,register,2023-11-23,page_077,24
U00105,app_open,2023-11-23,page_097,35
U00106,register,2023-09-14,page_081,10
U00106,app_open,2023-09-14,page_062,43
U00106,browse,2023-09-14,page_079,90
U00107,register,2023-02-17,page_009,17
U00107,app_open,2023-02-17,page_028,52
U00107,share,2023-03-01,page_076,21
U00108,register,2024-09-16,page_052,23
U00108,app_open,2024-09-16,page_044,47
U00108,browse,2024-09-16,page_020,80
U00108,share,2024-10-12,page_055,20
U00109,register,2023-05-01,page_010,24
U00110,register,2023-09-03,page_041,20
U00110,app_open,2023-09-03,page_091,17
U00110,browse,2023-09-03,page_056,273
U00111,register,2024-02-18,page_062,23
U00111,app_open,2024-02-18,page_021,52
U00111,share,2024-03-14,page_099,16
U00112,register,2023-12-23,page_070,24
U00112,app_open,2023-12-23,page_035,10
U00112,browse,2023-12-23,page_039,141
U00113,register,2024-02-28,page_045,18
U00113,app_open,2024-02-28,page_072,17
U00113,share,2024-03-04,page_040,26
U00114,register,2024-04-05,page_028,16
U00115,register,2024-08-20,page_099,24
U00116,register,2024-03-09,page_022,29
U00116,app_open,2024-03-09,page_027,28
U00116,browse,2024-03-09,page_030,248
U00116,add_to_cart,2024-03-09,page_038,55
U00117,register,2024-05-12,page_038,29
U00117,app_open,2024-05-12,page_053,46
U00117,browse,2024-05-12,page_053,149
U00117,add_to_cart,2024-05-12,page_074,115
U00117,share,2024-06-07,page_026,24
U00118,register,2024-01-10,page_062,8
U00118,app_open,2024-01-10,page_073,27
U00118,browse,2024-01-10,page_058,298
U00118,add_to_cart,2024-01-10,page_027,67
U00118,share,2024-02-06,page_044,14
U00119,register,2023-07-27,page_034,12
U00119,app_open,2023-07-27,page_072,53
U00120,register,2024-12-21,page_033,29
U00120,app_open,2024-12-21,page_092,15
U00120,browse,2024-12-21,page_046,108
U00120,share,2025-01-08,page_054,15
U00121,register,2023-07-08,page_037,25
U00121,app_open,2023-07-08,page_012,28
U00121,browse,2023-07-08,page_047,286
U00121,add_to_cart,2023-07-08,page_016,69
U00122,register,2024-12-15,page_072,25
U00122,app_open,2024-12-15,page_059,30
U00122,browse,2024-12-15,page_032,164
U00122,add_to_cart,2024-12-15,page_017,107
U00123,register,2024-09-18,page_098,25
U00123,app_open,2024-09-18,page_005,32
U00123,browse,2024-09-18,page_028,35
U00123,add_to_cart,2024-09-18,page_011,26
U00124,register,2024-10-01,page_078,27
U00124,app_open,2024-10-01,page_057,46
U00125,register,2023-10-22,page_034,8
U00125,app_open,2023-10-22,page_024,10
U00125,browse,2023-10-22,page_029,261
U00125,add_to_cart,2023-10-22,page_073,64
U00126,register,2024-07-03,page_068,26
U00126,app_open,2024-07-03,page_027,30
U00126,browse,2024-07-03,page_026,202
U00127,register,2023-07-04,page_020,8
U00127,app_open,2023-07-04,page_022,56
U00127,browse,2023-07-04,page_035,187
U00127,add_to_cart,2023-07-04,page_077,19
U00128,register,2023-05-06,page_064,7
U00129,register,2023-10-12,page_061,13
U00129,app_open,2023-10-12,page_068,29
U00129,browse,2023-10-12,page_004,214
U00129,add_to_cart,2023-10-12,page_066,64
U00129,share,2023-10-18,page_068,15
U00130,register,2024-02-22,page_072,16
U00130,app_open,2024-02-22,page_082,29
U00130,browse,2024-02-22,page_095,232
U00130,add_to_cart,2024-02-22,page_040,61
U00131,register,2023-02-03,page_009,13
U00131,app_open,2023-02-03,page_067,31
U00131,browse,2023-02-03,page_026,153
U00131,add_to_cart,2023-02-03,page_007,58
U00132,register,2023-01-03,page_004,10
U00132,app_open,2023-01-03,page_039,26
U00132,browse,2023-01-03,page_074,259
U00133,register,2024-12-15,page_081,28
U00133,app_open,2024-12-15,page_069,53
U00133,browse,2024-12-15,page_017,197
U00133,add_to_cart,2024-12-15,page_028,68
U00134,register,2024-04-20,page_001,22
U00134,app_open,2024-04-20,page_079,39
U00134,browse,2024-04-20,page_083,61
U00134,add_to_cart,2024-04-20,page_034,108
U00135,register,2023-02-20,page_007,24
U00135,app_open,2023-02-20,page_031,43
U00136,register,2024-04-15,page_001,25
U00136,app_open,2024-04-15,page_023,55
U00136,share,2024-04-26,page_082,9
U00137,register,2023-07-25,page_007,19
U00137,app_open,2023-07-25,page_039,16
U00137,browse,2023-07-25,page_070,264
U00137,add_to_cart,2023-07-25,page_007,78
U00138,register,2023-05-05,page_053,23
U00138,app_open,2023-05-05,page_067,18
U00138,browse,2023-05-05,page_057,41
U00139,register,2024-09-26,page_047,12
U00139,app_open,2024-09-26,page_031,10
U00139,browse,2024-09-26,page_031,211
U00140,register,2023-09-23,page_086,20
U00140,app_open,2023-09-23,page_099,12
U00140,browse,2023-09-23,page_056,298
U00140,add_to_cart,2023-09-23,page_024,75
U00141,register,2024-02-19,page_088,27
U00141,app_open,2024-02-19,page_084,20
U00141,browse,2024-02-19,page_022,242
U00142,register,2024-06-09,page_002,25
U00143,register,2023-03-11,page_090,11
U00144,register,2024-12-15,page_066,6
U00144,app_open,2024-12-15,page_017,52
U00145,register,2023-04-21,page_022,25
U00145,app_open,2023-04-21,page_087,32
U00145,browse,2023-04-21,page_049,290
U00145,add_to_cart,2023-04-21,page_059,37
U00145,share,2023-04-25,page_029,15
U00146,register,2024-12-05,page_080,7
U00146,app_open,2024-12-05,page_010,31
U00146,share,2024-12-11,page_096,22
U00147,register,2024-06-22,page_012,10
U00148,register,2024-11-12,page_068,18
U00148,app_open,2024-11-12,page_067,27
U00148,browse,2024-11-12,page_056,111
U00148,add_to_cart,2024-11-12,page_011,37
U00149,register,2023-01-26,page_037,18
U00150,register,2024-10-20,page_091,11
U00150,app_open,2024-10-20,page_010,55
U00150,browse,2024-10-20,page_012,95
U00151,register,2023-02-09,page_022,25
U00151,app_open,2023-02-09,page_016,32
U00151,browse,2023-02-09,page_041,203
U00152,register,2024-10-25,page_033,18
U00152,app_open,2024-10-25,page_007,57
U00152,browse,2024-10-25,page_062,222
U00152,add_to_cart,2024-10-25,page_014,42
U00153,register,2024-06-05,page_096,28
U00153,app_open,2024-06-05,page_056,22
U00153,browse,2024-06-05,page_095,86
U00153,add_to_cart,2024-06-05,page_053,25
U00154,register,2024-10-14,page_077,20
U00154,app_open,2024-10-14,page_055,35
U00154,browse,2024-10-14,page_079,117
U00154,share,2024-10-21,page_093,10
U00155,register,2023-11-21,page_019,23
U00155,app_open,2023-11-21,page_019,22
U00155,browse,2023-11-21,page_037,153
U00156,register,2024-10-03,page_037,13
U00156,app_open,2024-10-03,page_002,55
U00156,browse,2024-10-03,page_060,98
U00157,register,2023-09-02,page_084,9
U00158,register,2024-02-28,page_096,14
U00158,app_open,2024-02-28,page_058,10
U00159,register,2023-02-21,page_019,5
U00159,app_open,2023-02-21,page_089,58
U00160,register,2023-10-19,page_037,12
U00160,app_open,2023-10-19,page_071,46
U00160,browse,2023-10-19,page_045,151
U00161,register,2023-02-16,page_062,25
U00162,register,2023-06-12,page_010,24
U00162,app_open,2023-06-12,page_011,23
U00162,browse,2023-06-12,page_008,143
U00163,register,2024-10-07,page_065,17
U00163,app_open,2024-10-07,page_077,35
U00163,browse,2024-10-07,page_029,273
U00163,share,2024-11-04,page_083,7
U00164,register,2023-04-08,page_004,27
U00164,app_open,2023-04-08,page_089,46
U00164,browse,2023-04-08,page_058,71
U00164,add_to_cart,2023-04-08,page_085,101
U00165,register,2024-07-10,page_057,15
U00165,app_open,2024-07-10,page_011,43
U00165,browse,2024-07-10,page_082,224
U00166,register,2023-01-05,page_064,22
U00166,app_open,2023-01-05,page_083,17
U00166,browse,2023-01-05,page_089,96
U00166,share,2023-01-18,page_037,27
U00167,register,2023-06-27,page_008,17
U00167,app_open,2023-06-27,page_086,42
U00167,browse,2023-06-27,page_004,282
U00167,add_to_cart,2023-06-27,page_026,82
U00168,register,2024-07-18,page_036,13
U00168,app_open,2024-07-18,page_088,46
U00168,browse,2024-07-18,page_085,101
U00168,add_to_cart,2024-07-18,page_091,95
U00168,share,2024-07-22,page_093,20
U00169,register,2024-07-19,page_038,5
U00169,app_open,2024-07-19,page_049,23
U00169,browse,2024-07-19,page_057,100
U00169,add_to_cart,2024-07-19,page_079,90
U00170,register,2024-11-01,page_080,14
U00170,app_open,2024-11-01,page_075,59
U00170,browse,2024-11-01,page_063,227
U00170,add_to_cart,2024-11-01,page_093,94
U00170,share,2024-11-06,page_061,23
U00171,register,2024-08-11,page_097,12
U00171,app_open,2024-08-11,page_071,37
U00171,browse,2024-08-11,page_004,152
U00172,register,2023-03-10,page_049,8
U00172,app_open,2023-03-10,page_010,12
U00172,browse,2023-03-10,page_067,250
U00172,add_to_cart,2023-03-10,page_051,17
U00173,register,2023-07-17,page_019,27
U00173,app_open,2023-07-17,page_009,56
U00174,register,2024-12-26,page_016,25
U00174,app_open,2024-12-26,page_043,40
U00174,browse,2024-12-26,page_084,255
U00175,register,2024-04-07,page_026,24
U00175,app_open,2024-04-07,page_025,44
U00175,browse,2024-04-07,page_033,259
U00176,register,2024-01-12,page_028,20
U00176,app_open,2024-01-12,page_097,46
U00176,browse,2024-01-12,page_022,93
U00177,register,2023-12-08,page_042,12
U00177,app_open,2023-12-08,page_024,22
U00178,register,2023-08-13,page_099,7
U00178,app_open,2023-08-13,page_047,20
U00178,browse,2023-08-13,page_003,260
U00178,add_to_cart,2023-08-13,page_061,19
U00179,register,2023-11-25,page_081,13
U00179,app_open,2023-11-25,page_025,13
U00179,browse,2023-11-25,page_029,102
U00180,register,2023-01-25,page_083,10
U00180,app_open,2023-01-25,page_024,44
U00180,browse,2023-01-25,page_055,256
U00181,register,2024-05-19,page_075,29
U00181,app_open,2024-05-19,page_061,23
U00181,browse,2024-05-19,page_061,169
U00181,add_to_cart,2024-05-19,page_058,81
U00182,register,2024-01-23,page_085,29
U00182,app_open,2024-01-23,page_002,16
U00182,browse,2024-01-23,page_079,224
U00182,add_to_cart,2024-01-23,page_095,80
U00182,share,2024-02-04,page_049,12
U00183,register,2024-03-24,page_074,24
U00183,app_open,2024-03-24,page_093,27
U00183,browse,2024-03-24,page_046,260
U00183,add_to_cart,2024-03-24,page_029,26
U00183,share,2024-04-11,page_060,5
U00184,register,2023-12-21,page_007,13
U00184,app_open,2023-12-21,page_082,58
U00184,browse,2023-12-21,page_077,105
U00184,share,2024-01-15,page_047,24
U00185,register,2024-05-03,page_033,15
U00185,app_open,2024-05-03,page_095,58
U00185,browse,2024-05-03,page_025,100
U00185,add_to_cart,2024-05-03,page_009,49
U00185,share,2024-05-26,page_002,23
U00186,register,2023-07-02,page_095,24
U00186,app_open,2023-07-02,page_043,58
U00186,browse,2023-07-02,page_060,239
U00187,register,2023-02-25,page_003,23
U00187,app_open,2023-02-25,page_086,36
U00187,browse,2023-02-25,page_045,178
U00187,add_to_cart,2023-02-25,page_091,59
U00187,share,2023-03-13,page_054,22
U00188,register,2023-06-04,page_096,8
U00188,app_open,2023-06-04,page_057,16
U00188,browse,2023-06-04,page_030,258
U00188,add_to_cart,2023-06-04,page_061,89
U00189,register,2024-04-15,page_046,20
U00189,app_open,2024-04-15,page_037,45
U00189,browse,2024-04-15,page_067,250
U00190,register,2023-10-14,page_025,23
U00191,register,2023-09-15,page_007,5
U00191,app_open,2023-09-15,page_026,56
U00192,register,2023-07-07,page_036,14
U00192,app_open,2023-07-07,page_055,12
U00192,browse,2023-07-07,page_020,58
U00193,register,2023-08-19,page_018,12
U00193,app_open,2023-08-19,page_094,18
U00194,register,2024-06-17,page_027,5
U00194,app_open,2024-06-17,page_071,38
U00195,register,2024-06-19,page_021,17
U00196,register,2024-09-08,page_061,20
U00196,app_open,2024-09-08,page_047,49
U00196,browse,2024-09-08,page_049,142
U00196,add_to_cart,2024-09-08,page_052,90
U00197,register,2024-01-27,page_066,9
U00198,register,2023-11-19,page_041,20
U00198,app_open,2023-11-19,page_088,58
U00198,browse,2023-11-19,page_080,261
U00198,add_to_cart,2023-11-19,page_010,40
U00199,register,2023-07-27,page_095,17
U00199,app_open,2023-07-27,page_024,38
U00200,register,2023-05-05,page_020,15
U00200,app_open,2023-05-05,page_098,50
U00200,browse,2023-05-05,page_054,139
U00200,share,2023-05-10,page_002,5
U00201,register,2023-08-10,page_062,17
U00201,app_open,2023-08-10,page_062,34
U00201,browse,2023-08-10,page_009,82
U00201,add_to_cart,2023-08-10,page_096,64
U00202,register,2023-05-26,page_045,16
U00202,app_open,2023-05-26,page_044,46
U00202,browse,2023-05-26,page_022,130
U00203,register,2024-03-23,page_013,6
U00203,app_open,2024-03-23,page_072,58
U00203,browse,2024-03-23,page_043,41
U00203,add_to_cart,2024-03-23,page_085,89
U00204,register,2024-04-28,page_056,12
U00205,register,2023-10-24,page_051,10
U00206,register,2023-08-19,page_015,26
U00206,app_open,2023-08-19,page_059,31
U00206,browse,2023-08-19,page_033,248
U00207,register,2023-04-14,page_095,20
U00208,register,2023-08-21,page_090,8
U00209,register,2024-02-12,page_067,29
U00210,register,2023-01-23,page_086,11
U00210,app_open,2023-01-23,page_038,53
U00211,register,2024-07-18,page_082,24
U00211,app_open,2024-07-18,page_055,15
U00212,register,2023-12-10,page_081,11
U00212,app_open,2023-12-10,page_072,32
U00212,browse,2023-12-10,page_066,180
U00212,add_to_cart,2023-12-10,page_033,50
U00213,register,2024-09-01,page_042,24
U00213,app_open,2024-09-01,page_053,17
U00213,browse,2024-09-01,page_031,286
U00214,register,2024-02-09,page_052,19
U00214,app_open,2024-02-09,page_003,56
U00215,register,2024-03-21,page_098,27
U00215,app_open,2024-03-21,page_098,19
U00215,browse,2024-03-21,page_050,66
U00216,register,2024-10-23,page_028,27
U00217,register,2024-02-09,page_007,24
U00217,app_open,2024-02-09,page_084,12
U00218,register,2023-11-05,page_050,13
U00219,register,2023-12-16,page_064,11
U00219,app_open,2023-12-16,page_049,50
U00220,register,2024-08-28,page_078,10
U00220,app_open,2024-08-28,page_060,35
U00220,browse,2024-08-28,page_084,193
U00221,register,2023-03-05,page_091,29
U00222,register,2024-07-05,page_061,7
U00222,app_open,2024-07-05,page_071,54
U00222,browse,2024-07-05,page_010,155
U00222,add_to_cart,2024-07-05,page_073,98
U00223,register,2024-12-18,page_044,13
U00223,app_open,2024-12-18,page_049,52
U00224,register,2023-04-24,page_069,23
U00224,app_open,2023-04-24,page_061,36
U00224,browse,2023-04-24,page_025,212
U00224,add_to_cart,2023-04-24,page_037,24
U00225,register,2024-03-05,page_063,25
U00225,app_open,2024-03-05,page_038,53
U00226,register,2023-08-16,page_081,27
U00226,app_open,2023-08-16,page_068,44
U00226,browse,2023-08-16,page_048,198
U00226,share,2023-09-14,page_082,11
U00227,register,2024-10-01,page_093,17
U00227,app_open,2024-10-01,page_050,21
U00227,browse,2024-10-01,page_091,124
U00227,add_to_cart,2024-10-01,page_042,61
U00228,register,2023-05-26,page_042,10
U00228,app_open,2023-05-26,page_025,40
U00228,browse,2023-05-26,page_061,47
U00228,add_to_cart,2023-05-26,page_014,64
U00229,register,2024-06-16,page_082,27
U00229,app_open,2024-06-16,page_051,41
U00229,browse,2024-06-16,page_009,251
U00229,add_to_cart,2024-06-16,page_027,47
U00230,register,2024-11-10,page_065,16
U00230,app_open,2024-11-10,page_079,32
U00230,browse,2024-11-10,page_009,258
U00230,add_to_cart,2024-11-10,page_086,20
U00230,share,2024-11-18,page_054,16
U00231,register,2023-04-18,page_024,24
U00231,app_open,2023-04-18,page_064,32
U00231,browse,2023-04-18,page_023,190
U00231,add_to_cart,2023-04-18,page_099,35
U00232,register,2024-05-21,page_068,6
U00232,app_open,2024-05-21,page_002,57
U00232,browse,2024-05-21,page_094,151
U00232,add_to_cart,2024-05-21,page_003,68
U00233,register,2024-01-08,page_033,16
U00233,app_open,2024-01-08,page_062,41
U00233,share,2024-01-09,page_011,28
U00234,register,2023-08-12,page_041,7
U00234,app_open,2023-08-12,page_096,44
U00234,browse,2023-08-12,page_089,169
U00234,add_to_cart,2023-08-12,page_007,70
U00235,register,2024-06-06,page_014,28
U00235,app_open,2024-06-06,page_079,31
U00235,browse,2024-06-06,page_024,39
U00236,register,2023-07-26,page_048,7
U00237,register,2024-05-05,page_029,23
U00237,app_open,2024-05-05,page_046,55
U00237,browse,2024-05-05,page_092,239
U00238,register,2024-10-23,page_077,12
U00238,app_open,2024-10-23,page_061,15
U00239,register,2024-07-08,page_079,12
U00239,app_open,2024-07-08,page_024,55
U00239,share,2024-08-03,page_023,16
U00240,register,2024-07-27,page_063,29
U00240,app_open,2024-07-27,page_062,12
U00240,browse,2024-07-27,page_067,124
U00240,add_to_cart,2024-07-27,page_008,116
U00241,register,2023-08-25,page_035,29
