user_id,order_id,rating,feedback_text,feedback_date,category
U00055,FB000056,3,一般般，有待改进。,2023-06-07,服饰
U00056,FB000057,5,非常满意，产品很好用！,2023-03-12,家居
U00057,FB000058,5,非常满意，产品很好用！,2024-04-18,食品
U00058,FB000059,5,非常满意，产品很好用！,2023-08-18,美妆
U00059,FB000060,4,还不错，基本满意。,2023-01-20,美妆
U00060,FB000061,2,不太满意，需要改善。,2024-01-09,3C数码
U00061,FB000062,3,一般般，有待改进。,2024-12-09,食品
U00062,FB000063,5,非常满意，产品很好用！,2023-12-16,美妆
U00063,FB000064,3,一般般，有待改进。,2023-05-30,美妆
U00064,FB000065,3,一般般，有待改进。,2024-02-03,美妆
U00065,FB000066,2,不太满意，需要改善。,2024-05-20,美妆
U00066,FB000067,5,非常满意，产品很好用！,2023-08-01,3C数码
U00067,FB000068,4,还不错，基本满意。,2024-09-26,3C数码
U00068,FB000069,5,非常满意，产品很好用！,2024-03-29,美妆
U00069,FB000070,5,非常满意，产品很好用！,2024-02-03,美妆
U00070,FB000071,2,不太满意，需要改善。,2024-12-23,3C数码
U00071,FB000072,1,非常不满意，体验很差。,2023-09-22,食品
U00072,FB000073,5,非常满意，产品很好用！,2023-11-23,服饰
U00073,FB000074,5,非常满意，产品很好用！,2023-08-15,3C数码
U00074,FB000075,2,不太满意，需要改善。,2023-02-16,美妆
U00075,FB000076,3,一般般，有待改进。,2023-10-04,食品
U00076,FB000077,4,还不错，基本满意。,2024-06-14,3C数码
U00077,FB000078,4,还不错，基本满意。,2023-05-28,3C数码
U00078,FB000079,5,非常满意，产品很好用！,2024-09-21,家居
U00079,FB000080,4,还不错，基本满意。,2024-03-17,食品
U00080,FB000081,4,还不错，基本满意。,2024-08-21,家居
U00081,FB000082,4,还不错，基本满意。,2024-06-28,美妆
U00082,FB000083,4,还不错，基本满意。,2023-10-23,美妆
U00083,FB000084,5,非常满意，产品很好用！,2024-11-30,服饰
U00084,FB000085,3,一般般，有待改进。,2024-12-30,3C数码
U00085,FB000086,3,一般般，有待改进。,2024-03-12,食品
U00086,FB000087,5,非常满意，产品很好用！,2023-03-03,家居
U00087,FB000088,5,非常满意，产品很好用！,2023-11-24,3C数码
U00088,FB000089,4,还不错，基本满意。,2023-04-04,3C数码
U00089,FB000090,5,非常满意，产品很好用！,2023-04-23,美妆
U00090,FB000091,2,不太满意，需要改善。,2023-08-20,食品
U00091,FB000092,3,一般般，有待改进。,2024-09-25,美妆
U00092,FB000093,4,还不错，基本满意。,2023-03-10,3C数码
U00093,FB000094,3,一般般，有待改进。,2024-08-10,食品
U00094,FB000095,5,非常满意，产品很好用！,2024-02-10,服饰
U00095,FB000096,5,非常满意，产品很好用！,2024-07-07,3C数码
U00096,FB000097,5,非常满意，产品很好用！,2024-05-02,家居
U00097,FB000098,4,还不错，基本满意。,2023-10-21,食品
U00098,FB000099,5,非常满意，产品很好用！,2023-04-26,3C数码
U00099,FB000100,4,还不错，基本满意。,2023-06-24,家居
U00100,FB000101,3,一般般，有待改进。,2023-06-16,食品
U00101,FB000102,4,还不错，基本满意。,2024-12-25,食品
U00102,FB000103,4,还不错，基本满意。,2024-11-10,美妆
U00103,FB000104,2,不太满意，需要改善。,2023-03-01,家居
U00104,FB000105,4,还不错，基本满意。,2023-06-18,服饰
U00105,FB000106,3,一般般，有待改进。,2024-10-17,服饰
U00106,FB000107,5,非常满意，产品很好用！,2024-10-31,服饰
U00107,FB000108,5,非常满意，产品很好用！,2023-11-05,家居
U00108,FB000109,5,非常满意，产品很好用！,2024-03-06,服饰
U00109,FB000110,4,还不错，基本满意。,2024-04-13,家居
U00110,FB000111,3,一般般，有待改进。,2023-03-04,服饰
U00111,FB000112,4,还不错，基本满意。,2023-06-04,食品
U00112,FB000113,4,还不错，基本满意。,2023-01-09,美妆
U00113,FB000114,3,一般般，有待改进。,2024-03-10,家居
U00114,FB000115,5,非常满意，产品很好用！,2024-05-31,美妆
U00115,FB000116,5,非常满意，产品很好用！,2023-07-11,食品
U00116,FB000117,4,还不错，基本满意。,2023-07-18,美妆
U00117,FB000118,5,非常满意，产品很好用！,2024-02-02,美妆
U00118,FB000119,5,非常满意，产品很好用！,2023-07-20,3C数码
U00119,FB000120,2,不太满意，需要改善。,2023-06-11,家居
U00120,FB000121,3,一般般，有待改进。,2024-05-30,美妆
U00121,FB000122,4,还不错，基本满意。,2024-01-02,服饰
U00122,FB000123,3,一般般，有待改进。,2023-01-31,食品
U00123,FB000124,4,还不错，基本满意。,2023-11-27,家居
U00124,FB000125,3,一般般，有待改进。,2024-08-08,家居
U00125,FB000126,5,非常满意，产品很好用！,2023-04-08,家居
U00126,FB000127,4,还不错，基本满意。,2024-12-02,服饰
U00127,FB000128,5,非常满意，产品很好用！,2024-06-14,服饰
U00128,FB000129,5,非常满意，产品很好用！,2024-09-16,服饰
U00129,FB000130,3,一般般，有待改进。,2023-01-11,家居
U00130,FB000131,3,一般般，有待改进。,2023-04-19,服饰
U00131,FB000132,5,非常满意，产品很好用！,2023-03-22,美妆
U00132,FB000133,4,还不错，基本满意。,2023-12-01,3C数码
U00133,FB000134,5,非常满意，产品很好用！,2023-09-05,3C数码
U00134,FB000135,5,非常满意，产品很好用！,2023-04-11,服饰
U00135,FB000136,5,非常满意，产品很好用！,2023-10-16,美妆
U00136,FB000137,3,一般般，有待改进。,2023-09-26,3C数码
U00137,FB000138,3,一般般，有待改进。,2023-09-09,美妆
U00138,FB000139,4,还不错，基本满意。,2024-02-21,美妆
U00139,FB000140,5,非常满意，产品很好用！,2024-06-05,3C数码
U00140,FB000141,2,不太满意，需要改善。,2024-05-07,家居
U00141,FB000142,4,还不错，基本满意。,2023-03-12,家居
U00142,FB000143,5,非常满意，产品很好用！,2024-08-18,家居
U00143,FB000144,4,还不错，基本满意。,2023-02-08,3C数码
U00144,FB000145,4,还不错，基本满意。,2023-08-14,食品
U00145,FB000146,4,还不错，基本满意。,2024-07-11,家居
U00146,FB000147,1,非常不满意，体验很差。,2024-03-21,服饰
U00147,FB000148,4,还不错，基本满意。,2023-05-05,服饰
U00148,FB000149,3,一般般，有待改进。,2024-03-29,食品
U00149,FB000150,5,非常满意，产品很好用！,2024-01-09,美妆
U00150,FB000151,3,一般般，有待改进。,2023-01-12,食品
U00151,FB000152,5,非常满意，产品很好用！,2023-10-27,食品
U00152,FB000153,5,非常满意，产品很好用！,2024-12-20,食品
U00153,FB000154,5,非常满意，产品很好用！,2023-01-08,食品
U00154,FB000155,5,非常满意，产品很好用！,2023-11-15,美妆
U00155,FB000156,3,一般般，有待改进。,2023-11-07,服饰
U00156,FB000157,5,非常满意，产品很好用！,2024-06-11,3C数码
U00157,FB000158,5,非常满意，产品很好用！,2024-05-31,3C数码
U00158,FB000159,5,非常满意，产品很好用！,2024-01-16,3C数码
U00159,FB000160,4,还不错，基本满意。,2024-02-17,3C数码
U00160,FB000161,5,非常满意，产品很好用！,2023-09-01,服饰
U00161,FB000162,3,一般般，有待改进。,2024-09-27,食品
U00162,FB000163,1,非常不满意，体验很差。,2023-04-28,服饰
U00163,FB000164,1,非常不满意，体验很差。,2024-09-04,美妆
U00164,FB000165,3,一般般，有待改进。,2023-11-11,服饰
U00165,FB000166,5,非常满意，产品很好用！,2023-02-17,食品
U00166,FB000167,2,不太满意，需要改善。,2024-08-17,服饰
U00167,FB000168,3,一般般，有待改进。,2023-06-25,美妆
U00168,FB000169,3,一般般，有待改进。,2023-02-03,美妆
U00169,FB000170,2,不太满意，需要改善。,2024-01-03,3C数码
U00170,FB000171,5,非常满意，产品很好用！,2024-12-28,服饰
U00171,FB000172,4,还不错，基本满意。,2023-02-21,食品
U00172,FB000173,1,非常不满意，体验很差。,2023-01-13,3C数码
U00173,FB000174,5,非常满意，产品很好用！,2023-02-05,3C数码
U00174,FB000175,3,一般般，有待改进。,2024-06-21,服饰
U00175,FB000176,4,还不错，基本满意。,2023-05-06,3C数码
U00176,FB000177,4,还不错，基本满意。,2024-06-04,家居
U00177,FB000178,5,非常满意，产品很好用！,2023-06-23,美妆
U00178,FB000179,5,非常满意，产品很好用！,2023-09-21,3C数码
U00179,FB000180,4,还不错，基本满意。,2023-05-20,3C数码
U00180,FB000181,3,一般般，有待改进。,2024-04-22,美妆
U00181,FB000182,5,非常满意，产品很好用！,2024-05-08,美妆
U00182,FB000183,3,一般般，有待改进。,2024-05-12,美妆
U00183,FB000184,4,还不错，基本满意。,2024-04-12,服饰
U00184,FB000185,4,还不错，基本满意。,2024-07-26,家居
U00185,FB000186,5,非常满意，产品很好用！,2024-04-27,服饰
U00186,FB000187,2,不太满意，需要改善。,2024-01-29,美妆
U00187,FB000188,5,非常满意，产品很好用！,2023-12-01,家居
U00188,FB000189,4,还不错，基本满意。,2024-03-21,3C数码
U00189,FB000190,5,非常满意，产品很好用！,2023-10-11,家居
U00190,FB000191,4,还不错，基本满意。,2023-11-20,服饰
U00191,FB000192,5,非常满意，产品很好用！,2024-07-12,家居
U00192,FB000193,3,一般般，有待改进。,2023-01-29,美妆
U00193,FB000194,2,不太满意，需要改善。,2023-09-17,食品
U00194,FB000195,5,非常满意，产品很好用！,2023-04-15,家居
U00195,FB000196,4,还不错，基本满意。,2023-04-03,服饰
U00196,FB000197,5,非常满意，产品很好用！,2024-01-08,美妆
U00197,FB000198,4,还不错，基本满意。,2024-09-14,3C数码
U00198,FB000199,2,不太满意，需要改善。,2023-07-21,美妆
U00199,FB000200,1,非常不满意，体验很差。,2023-10-15,美妆
U00200,FB000201,4,还不错，基本满意。,2023-05-16,美妆
U00201,FB000202,4,还不错，基本满意。,2024-10-01,食品
U00202,FB000203,3,一般般，有待改进。,2024-10-27,美妆
U00203,FB000204,5,非常满意，产品很好用！,2023-07-04,家居
U00204,FB000205,5,非常满意，产品很好用！,2023-08-17,美妆
U00205,FB000206,4,还不错，基本满意。,2024-03-18,3C数码
U00206,FB000207,4,还不错，基本满意。,2024-12-17,食品
U00207,FB000208,4,还不错，基本满意。,2023-07-13,3C数码
U00208,FB000209,1,非常不满意，体验很差。,2023-06-08,食品
U00209,FB000210,5,非常满意，产品很好用！,2024-11-18,家居
U00210,FB000211,5,非常满意，产品很好用！,2023-12-29,家居
U00211,FB000212,5,非常满意，产品很好用！,2024-11-22,家居
U00212,FB000213,5,非常满意，产品很好用！,2023-01-18,家居
U00213,FB000214,2,不太满意，需要改善。,2023-12-06,3C数码
U00214,FB000215,2,不太满意，需要改善。,2023-04-13,家居
U00215,FB000216,5,非常满意，产品很好用！,2023-06-11,食品
U00216,FB000217,4,还不错，基本满意。,2024-09-22,3C数码
U00217,FB000218,4,还不错，基本满意。,2023-03-16,家居
U00218,FB000219,4,还不错，基本满意。,2024-05-23,3C数码
U00219,FB000220,3,一般般，有待改进。,2023-01-16,美妆
U00220,FB000221,4,还不错，基本满意。,2023-09-23,美妆
U00221,FB000222,4,还不错，基本满意。,2023-12-09,食品
U00222,FB000223,5,非常满意，产品很好用！,2024-01-21,服饰
U00223,FB000224,5,非常满意，产品很好用！,2024-10-21,食品
U00224,FB000225,2,不太满意，需要改善。,2024-11-17,3C数码
U00225,FB000226,5,非常满意，产品很好用！,2023-12-04,食品
U00226,FB000227,2,不太满意，需要改善。,2024-04-17,美妆
U00227,FB000228,5,非常满意，产品很好用！,2024-10-07,食品
U00228,FB000229,1,非常不满意，体验很差。,2023-03-11,食品
U00229,FB000230,3,一般般，有待改进。,2023-03-07,美妆
U00230,FB000231,4,还不错，基本满意。,2023-03-14,食品
U00231,FB000232,1,非常不满意，体验很差。,2024-03-11,家居
U00232,FB000233,4,还不错，基本满意。,2023-08-18,服饰
U00233,FB000234,4,还不错，基本满意。,2023-07-04,美妆
U00234,FB000235,5,非常满意，产品很好用！,2024-12-30,家居
U00235,FB000236,4,还不错，基本满意。,2024-07-11,3C数码
U00236,FB000237,4,还不错，基本满意。,2024-06-28,家居
U00237,FB000238,5,非常满意，产品很好用！,2023-09-29,3C数码
U00238,FB000239,4,还不错，基本满意。,2023-05-01,美妆
U00239,FB000240,5,非常满意，产品很好用！,2024-05-02,美妆
U00240,FB000241,2,不太满意，需要改善。,2023-09-12,食品
U00241,FB000242,4,还不错，基本满意。,2023-10-22,家居
U00242,FB000243,4,还不错，基本满意。,2023-07-18,美妆
U00243,FB000244,5,非常满意，产品很好用！,2023-09-07,3C数码
U00244,FB000245,5,非常满意，产品很好用！,2023-12-03,3C数码
U00245,FB000246,4,还不错，基本满意。,2023-09-15,家居
U00246,FB000247,5,非常满意，产品很好用！,2023-12-18,3C数码
U00247,FB000248,2,不太满意，需要改善。,2023-04-05,食品
U00248,FB000249,5,非常满意，产品很好用！,2024-12-16,食品
U00249,FB000250,5,非常满意，产品很好用！,2023-01-18,3C数码
U00250,FB000251,4,还不错，基本满意。,2024-01-08,食品
U00251,FB000252,2,不太满意，需要改善。,2023-07-04,家居
U00252,FB000253,5,非常满意，产品很好用！,2024-02-26,食品
U00253,FB000254,3,一般般，有待改进。,2024-12-17,食品
U00254,FB000255,4,还不错，基本满意。,2024-04-03,美妆
U00255,FB000256,4,还不错，基本满意。,2024-01-08,服饰
U00256,FB000257,1,非常不满意，体验很差。,2023-12-24,家居
U00257,FB000258,4,还不错，基本满意。,2023-03-01,家居
U00258,FB000259,4,还不错，基本满意。,2023-05-09,家居
U00259,FB000260,3,一般般，有待改进。,2023-11-02,家居
U00260,FB000261,5,非常满意，产品很好用！,2024-03-19,服饰
U00261,FB000262,5,非常满意，产品很好用！,2023-12-15,美妆
U00262,FB000263,4,还不错，基本满意。,2023-09-15,3C数码
U00263,FB000264,5,非常满意，产品很好用！,2024-04-10,服饰
U00264,FB000265,5,非常满意，产品很好用！,2024-09-23,家居
U00265,FB000266,4,还不错，基本满意。,2023-12-09,家居
U00266,FB000267,1,非常不满意，体验很差。,2023-05-28,3C数码
U00267,FB000268,1,非常不满意，体验很差。,2024-05-14,服饰
U00268,FB000269,3,一般般，有待改进。,2024-02-13,服饰
U00269,FB000270,4,还不错，基本满意。,2024-12-06,美妆
U00270,FB000271,5,非常满意，产品很好用！,2024-12-09,3C数码
U00271,FB000272,4,还不错，基本满意。,2023-06-23,食品
U00272,FB000273,4,还不错，基本满意。,2023-07-12,家居
U00273,FB000274,5,非常满意，产品很好用！,2023-05-27,食品
U00274,FB000275,4,还不错，基本满意。,2024-01-12,食品
U00275,FB000276,5,非常满意，产品很好用！,2024-12-22,服饰
U00276,FB000277,3,一般般，有待改进。,2023-06-06,家居
U00277,FB000278,3,一般般，有待改进。,2023-04-30,食品
U00278,FB000279,5,非常满意，产品很好用！,2023-11-17,3C数码
U00279,FB000280,3,一般般，有待改进。,2024-04-21,家居
U00280,FB000281,3,一般般，有待改进。,2024-03-29,3C数码
U00281,FB000282,2,不太满意，需要改善。,2023-07-27,美妆
U00282,FB000283,5,非常满意，产品很好用！,2023-02-20,家居
U00283,FB000284,3,一般般，有待改进。,2024-12-04,家居
U00284,FB000285,2,不太满意，需要改善。,2024-10-10,家居
U00285,FB000286,3,一般般，有待改进。,2023-10-18,美妆
U00286,FB000287,5,非常满意，产品很好用！,2023-10-23,食品
U00287,FB000288,4,还不错，基本满意。,2024-10-25,服饰
U00288,FB000289,4,还不错，基本满意。,2023-12-24,服饰
U00289,FB000290,4,还不错，基本满意。,2023-02-02,食品
U00290,FB000291,5,非常满意，产品很好用！,2024-09-21,家居
U00291,FB000292,4,还不错，基本满意。,2023-07-05,家居
U00292,FB000293,3,一般般，有待改进。,2023-05-03,服饰
U00293,FB000294,5,非常满意，产品很好用！,2024-03-03,食品
U00294,FB000295,3,一般般，有待改进。,2024-01-27,美妆
U00295,FB000296,5,非常满意，产品很好用！,2024-01-13,食品
U00296,FB000297,5,非常满意，产品很好用！,2024-02-11,3C数码
U00297,FB000298,4,还不错，基本满意。,2023-11-08,家居
U00298,FB000299,4,还不错，基本满意。,2024-05-28,美妆
U00299,FB000300,5,非常满意，产品很好用！,2023-12-12,服饰
U00300,FB000301,5,非常满意，产品很好用！,2024-11-17,美妆
U00301,FB000302,4,还不错，基本满意。,2024-07-02,家居
U00302,FB000303,2,不太满意，需要改善。,2023-05-24,食品
U00303,FB000304,4,还不错，基本满意。,2024-05-17,美妆
U00304,FB000305,5,非常满意，产品很好用！,2023-09-06,美妆
U00305,FB000306,5,非常满意，产品很好用！,2024-07-02,食品
U00306,FB000307,2,不太满意，需要改善。,2024-04-27,家居
U00307,FB000308,4,还不错，基本满意。,2024-12-29,服饰
U00308,FB000309,4,还不错，基本满意。,2024-10-16,服饰
U00309,FB000310,4,还不错，基本满意。,2023-10-25,服饰
U00310,FB000311,5,非常满意，产品很好用！,2023-08-03,美妆
U00311,FB000312,4,还不错，基本满意。,2024-09-15,3C数码
U00312,FB000313,4,还不错，基本满意。,2023-09-05,食品
U00313,FB000314,2,不太满意，需要改善。,2023-08-15,3C数码
U00314,FB000315,4,还不错，基本满意。,2024-12-14,服饰
U00315,FB000316,5,非常满意，产品很好用！,2024-08-01,食品
U00316,FB000317,5,非常满意，产品很好用！,2023-06-03,家居
U00317,FB000318,3,一般般，有待改进。,2023-04-09,服饰
U00318,FB000319,5,非常满意，产品很好用！,2024-08-10,家居
U00319,FB000320,5,非常满意，产品很好用！,2023-04-27,服饰
U00320,FB000321,5,非常满意，产品很好用！,2023-10-14,家居
U00321,FB000322,5,非常满意，产品很好用！,2023-10-08,服饰
U00322,FB000323,5,非常满意，产品很好用！,2024-09-05,食品
U00323,FB000324,4,还不错，基本满意。,2023-09-06,服饰
U00324,FB000325,3,一般般，有待改进。,2023-10-19,家居
U00325,FB000326,5,非常满意，产品很好用！,2024-05-05,3C数码
U00326,FB000327,5,非常满意，产品很好用！,2024-08-12,家居
U00327,FB000328,4,还不错，基本满意。,2023-07-20,家居
U00328,FB000329,4,还不错，基本满意。,2023-04-06,3C数码
U00329,FB000330,4,还不错，基本满意。,2023-12-28,3C数码
U00330,FB000331,4,还不错，基本满意。,2023-02-14,食品
U00331,FB000332,4,还不错，基本满意。,2023-03-16,3C数码
U00332,FB000333,5,非常满意，产品很好用！,2024-05-08,食品
U00333,FB000334,3,一般般，有待改进。,2023-07-20,服饰
U00334,FB000335,4,还不错，基本满意。,2023-09-04,食品
U00335,FB000336,4,还不错，基本满意。,2024-04-04,家居
U00336,FB000337,1,非常不满意，体验很差。,2023-12-27,服饰
U00337,FB000338,3,一般般，有待改进。,2023-11-02,美妆
U00338,FB000339,4,还不错，基本满意。,2023-05-21,食品
U00339,FB000340,5,非常满意，产品很好用！,2024-04-25,家居
U00340,FB000341,1,非常不满意，体验很差。,2023-01-13,家居
U00341,FB000342,4,还不错，基本满意。,2024-09-05,3C数码
U00342,FB000343,2,不太满意，需要改善。,2023-04-28,食品
U00343,FB000344,4,还不错，基本满意。,2023-10-22,食品
U00344,FB000345,5,非常满意，产品很好用！,2024-12-30,家居
U00345,FB000346,5,非常满意，产品很好用！,2024-02-24,服饰
U00346,FB000347,3,一般般，有待改进。,2024-06-27,3C数码
U00347,FB000348,5,非常满意，产品很好用！,2023-06-16,3C数码
U00348,FB000349,5,非常满意，产品很好用！,2024-11-08,食品
U00349,FB000350,4,还不错，基本满意。,2024-12-15,食品
U00350,FB000351,3,一般般，有待改进。,2024-06-30,食品
U00351,FB000352,4,还不错，基本满意。,2023-09-21,食品
U00352,FB000353,5,非常满意，产品很好用！,2023-12-21,家居
U00353,FB000354,5,非常满意，产品很好用！,2024-08-08,美妆
U00354,FB000355,3,一般般，有待改进。,2024-04-24,美妆
U00355,FB000356,4,还不错，基本满意。,2023-02-10,3C数码
U00356,FB000357,4,还不错，基本满意。,2024-09-23,家居
U00357,FB000358,4,还不错，基本满意。,2023-03-18,服饰
U00358,FB000359,5,非常满意，产品很好用！,2024-06-08,家居
U00359,FB000360,3,一般般，有待改进。,2024-11-01,食品
U00360,FB000361,5,非常满意，产品很好用！,2024-09-28,服饰
U00361,FB000362,4,还不错，基本满意。,2023-04-12,服饰
U00362,FB000363,2,不太满意，需要改善。,2024-12-20,3C数码
U00363,FB000364,2,不太满意，需要改善。,2023-06-05,家居
U00364,FB000365,3,一般般，有待改进。,2024-05-13,美妆
U00365,FB000366,3,一般般，有待改进。,2024-01-11,美妆
U00366,FB000367,2,不太满意，需要改善。,2024-05-22,家居
U00367,FB000368,4,还不错，基本满意。,2023-09-11,3C数码
U00368,FB000369,5,非常满意，产品很好用！,2023-03-14,3C数码
U00369,FB000370,3,一般般，有待改进。,2023-05-25,食品
U00370,FB000371,3,一般般，有待改进。,2023-10-20,食品
U00371,FB000372,5,非常满意，产品很好用！,2024-02-01,服饰
U00372,FB000373,3,一般般，有待改进。,2024-10-26,美妆
U00373,FB000374,5,非常满意，产品很好用！,2023-04-06,服饰
U00374,FB000375,3,一般般，有待改进。,2024-11-21,食品
U00375,FB000376,5,非常满意，产品很好用！,2023-03-28,美妆
U00376,FB000377,5,非常满意，产品很好用！,2024-11-18,3C数码
U00377,FB000378,2,不太满意，需要改善。,2023-04-18,食品
U00378,FB000379,2,不太满意，需要改善。,2023-10-22,3C数码
U00379,FB000380,3,一般般，有待改进。,2023-08-20,食品
U00380,FB000381,5,非常满意，产品很好用！,2024-06-05,食品
U00381,FB000382,3,一般般，有待改进。,2023-12-08,食品
U00382,FB000383,5,非常满意，产品很好用！,2023-09-14,家居
U00383,FB000384,4,还不错，基本满意。,2023-04-22,食品
U00384,FB000385,5,非常满意，产品很好用！,2024-01-20,3C数码
U00385,FB000386,4,还不错，基本满意。,2024-07-07,美妆
U00386,FB000387,2,不太满意，需要改善。,2023-07-22,3C数码
U00387,FB000388,2,不太满意，需要改善。,2024-12-11,家居
U00388,FB000389,5,非常满意，产品很好用！,2024-06-28,家居
U00389,FB000390,2,不太满意，需要改善。,2024-10-07,家居
U00390,FB000391,3,一般般，有待改进。,2024-12-14,食品
U00391,FB000392,4,还不错，基本满意。,2023-01-31,服饰
U00392,FB000393,5,非常满意，产品很好用！,2023-09-15,3C数码
U00393,FB000394,3,一般般，有待改进。,2023-05-25,3C数码
U00394,FB000395,1,非常不满意，体验很差。,2023-08-08,3C数码
U00395,FB000396,5,非常满意，产品很好用！,2023-12-09,家居
U00396,FB000397,4,还不错，基本满意。,2023-04-19,食品
U00397,FB000398,5,非常满意，产品很好用！,2023-11-12,3C数码
U00398,FB000399,3,一般般，有待改进。,2024-10-26,家居
U00399,FB000400,4,还不错，基本满意。,2024-04-30,美妆
U00400,FB000401,5,非常满意，产品很好用！,2024-12-06,3C数码
U00401,FB000402,5,非常满意，产品很好用！,2023-04-23,服饰
U00402,FB000403,4,还不错，基本满意。,2024-03-09,3C数码
U00403,FB000404,5,非常满意，产品很好用！,2023-05-01,食品
U00404,FB000405,5,非常满意，产品很好用！,2023-10-19,3C数码
U00405,FB000406,5,非常满意，产品很好用！,2024-07-11,3C数码
U00406,FB000407,4,还不错，基本满意。,2024-05-08,服饰
U00407,FB000408,2,不太满意，需要改善。,2023-08-20,服饰
U00408,FB000409,5,非常满意，产品很好用！,2024-12-28,美妆
U00409,FB000410,4,还不错，基本满意。,2023-10-17,服饰
U00410,FB000411,4,还不错，基本满意。,2024-10-09,美妆
U00411,FB000412,4,还不错，基本满意。,2024-05-03,美妆
U00412,FB000413,5,非常满意，产品很好用！,2024-04-28,服饰
U00413,FB000414,2,不太满意，需要改善。,2024-02-10,家居
U00414,FB000415,3,一般般，有待改进。,2024-03-03,服饰
U00415,FB000416,3,一般般，有待改进。,2024-05-08,美妆
U00416,FB000417,2,不太满意，需要改善。,2023-09-02,食品
U00417,FB000418,4,还不错，基本满意。,2023-01-18,服饰
U00418,FB000419,3,一般般，有待改进。,2024-12-19,家居
U00419,FB000420,2,不太满意，需要改善。,2024-04-15,食品
U00420,FB000421,3,一般般，有待改进。,2023-02-01,食品
U00421,FB000422,5,非常满意，产品很好用！,2023-05-13,食品
U00422,FB000423,4,还不错，基本满意。,2023-11-07,服饰
U00423,FB000424,5,非常满意，产品很好用！,2023-02-21,服饰
U00424,FB000425,5,非常满意，产品很好用！,2024-05-08,食品
U00425,FB000426,3,一般般，有待改进。,2024-10-06,3C数码
