cohort_month,activity_month,active_users,cohort_size,retention_rate
2023-06,2024-07,48,363,13.22
2023-06,2024-08,42,363,11.57
2023-06,2024-09,41,363,11.29
2023-06,2024-10,45,363,12.4
2023-06,2024-11,49,363,13.5
2023-06,2024-12,46,363,12.67
2023-07,2023-01,47,320,14.69
2023-07,2023-02,49,320,15.31
2023-07,2023-03,46,320,14.38
2023-07,2023-04,51,320,15.94
2023-07,2023-05,51,320,15.94
2023-07,2023-06,41,320,12.81
2023-07,2023-07,46,320,14.38
2023-07,2023-08,46,320,14.38
2023-07,2023-09,51,320,15.94
2023-07,2023-10,52,320,16.25
2023-07,2023-11,37,320,11.56
2023-07,2023-12,51,320,15.94
2023-07,2024-01,40,320,12.5
2023-07,2024-02,38,320,11.88
2023-07,2024-03,44,320,13.75
2023-07,2024-04,50,320,15.63
2023-07,2024-05,49,320,15.31
2023-07,2024-06,46,320,14.38
2023-07,2024-07,47,320,14.69
2023-07,2024-08,42,320,13.13
2023-07,2024-09,47,320,14.69
2023-07,2024-10,44,320,13.75
2023-07,2024-11,42,320,13.13
2023-07,2024-12,47,320,14.69
2023-08,2023-01,41,348,11.78
2023-08,2023-02,35,348,10.06
2023-08,2023-03,37,348,10.63
2023-08,2023-04,39,348,11.21
2023-08,2023-05,40,348,11.49
2023-08,2023-06,33,348,9.48
2023-08,2023-07,39,348,11.21
2023-08,2023-08,37,348,10.63
2023-08,2023-09,34,348,9.77
2023-08,2023-10,46,348,13.22
2023-08,2023-11,41,348,11.78
2023-08,2023-12,34,348,9.77
2023-08,2024-01,43,348,12.36
2023-08,2024-02,35,348,10.06
2023-08,2024-03,39,348,11.21
2023-08,2024-04,39,348,11.21
2023-08,2024-05,36,348,10.34
2023-08,2024-06,28,348,8.05
2023-08,2024-07,33,348,9.48
2023-08,2024-08,43,348,12.36
2023-08,2024-09,43,348,12.36
2023-08,2024-10,36,348,10.34
2023-08,2024-11,33,348,9.48
2023-08,2024-12,33,348,9.48
2023-09,2023-01,50,322,15.53
2023-09,2023-02,44,322,13.66
2023-09,2023-03,46,322,14.29
2023-09,2023-04,43,322,13.35
2023-09,2023-05,57,322,17.7
2023-09,2023-06,46,322,14.29
2023-09,2023-07,50,322,15.53
2023-09,2023-08,50,322,15.53
2023-09,2023-09,51,322,15.84
2023-09,2023-10,48,322,14.91
2023-09,2023-11,47,322,14.6
2023-09,2023-12,44,322,13.66
2023-09,2024-01,42,322,13.04
2023-09,2024-02,49,322,15.22
2023-09,2024-03,39,322,12.11
2023-09,2024-04,50,322,15.53
2023-09,2024-05,48,322,14.91
2023-09,2024-06,62,322,19.25
2023-09,2024-07,46,322,14.29
2023-09,2024-08,49,322,15.22
2023-09,2024-09,50,322,15.53
2023-09,2024-10,41,322,12.73
2023-09,2024-11,39,322,12.11
2023-09,2024-12,42,322,13.04
2023-10,2023-01,46,327,14.07
2023-10,2023-02,41,327,12.54
2023-10,2023-03,39,327,11.93
2023-10,2023-04,42,327,12.84
2023-10,2023-05,42,327,12.84
2023-10,2023-06,50,327,15.29
2023-10,2023-07,49,327,14.98
2023-10,2023-08,40,327,12.23
2023-10,2023-09,46,327,14.07
2023-10,2023-10,41,327,12.54
2023-10,2023-11,38,327,11.62
2023-10,2023-12,39,327,11.93
2023-10,2024-01,50,327,15.29
2023-10,2024-02,44,327,13.46
2023-10,2024-03,44,327,13.46
2023-10,2024-04,52,327,15.9
2023-10,2024-05,48,327,14.68
2023-10,2024-06,42,327,12.84
2023-10,2024-07,36,327,11.01
2023-10,2024-08,43,327,13.15
2023-10,2024-09,40,327,12.23
2023-10,2024-10,44,327,13.46
2023-10,2024-11,36,327,11.01
2023-10,2024-12,51,327,15.6
2023-11,2023-01,38,348,10.92
2023-11,2023-02,49,348,14.08
2023-11,2023-03,45,348,12.93
2023-11,2023-04,44,348,12.64
2023-11,2023-05,47,348,13.51
2023-11,2023-06,44,348,12.64
2023-11,2023-07,47,348,13.51
2023-11,2023-08,39,348,11.21
2023-11,2023-09,49,348,14.08
2023-11,2023-10,48,348,13.79
2023-11,2023-11,58,348,16.67
2023-11,2023-12,45,348,12.93
2023-11,2024-01,34,348,9.77
2023-11,2024-02,41,348,11.78
2023-11,2024-03,51,348,14.66
2023-11,2024-04,35,348,10.06
2023-11,2024-05,49,348,14.08
2023-11,2024-06,44,348,12.64
2023-11,2024-07,46,348,13.22
2023-11,2024-08,45,348,12.93
2023-11,2024-09,45,348,12.93
2023-11,2024-10,40,348,11.49
2023-11,2024-11,60,348,17.24
2023-11,2024-12,52,348,14.94
2023-12,2023-01,47,334,14.07
2023-12,2023-02,38,334,11.38
2023-12,2023-03,49,334,14.67
2023-12,2023-04,45,334,13.47
2023-12,2023-05,51,334,15.27
2023-12,2023-06,28,334,8.38
2023-12,2023-07,41,334,12.28
2023-12,2023-08,44,334,13.17
2023-12,2023-09,30,334,8.98
2023-12,2023-10,49,334,14.67
2023-12,2023-11,38,334,11.38
2023-12,2023-12,36,334,10.78
2023-12,2024-01,45,334,13.47
2023-12,2024-02,42,334,12.57
2023-12,2024-03,41,334,12.28
2023-12,2024-04,55,334,16.47
2023-12,2024-05,48,334,14.37
2023-12,2024-06,35,334,10.48
2023-12,2024-07,39,334,11.68
2023-12,2024-08,40,334,11.98
2023-12,2024-09,36,334,10.78
2023-12,2024-10,46,334,13.77
2023-12,2024-11,45,334,13.47
2023-12,2024-12,42,334,12.57
2024-01,2023-01,52,346,15.03
2024-01,2023-02,37,346,10.69
2024-01,2023-03,58,346,16.76
2024-01,2023-04,52,346,15.03
2024-01,2023-05,52,346,15.03
2024-01,2023-06,46,346,13.29
2024-01,2023-07,48,346,13.87
2024-01,2023-08,47,346,13.58
2024-01,2023-09,52,346,15.03
2024-01,2023-10,54,346,15.61
2024-01,2023-11,50,346,14.45
2024-01,2023-12,49,346,14.16
2024-01,2024-01,51,346,14.74
2024-01,2024-02,41,346,11.85
2024-01,2024-03,46,346,13.29
2024-01,2024-04,55,346,15.9
2024-01,2024-05,47,346,13.58
2024-01,2024-06,49,346,14.16
2024-01,2024-07,53,346,15.32
2024-01,2024-08,60,346,17.34
2024-01,2024-09,55,346,15.9
2024-01,2024-10,44,346,12.72
2024-01,2024-11,55,346,15.9
2024-01,2024-12,69,346,19.94
2024-02,2023-01,49,336,14.58
2024-02,2023-02,55,336,16.37
2024-02,2023-03,49,336,14.58
2024-02,2023-04,42,336,12.5
2024-02,2023-05,48,336,14.29
2024-02,2023-06,58,336,17.26
2024-02,2023-07,51,336,15.18
2024-02,2023-08,41,336,12.2
2024-02,2023-09,43,336,12.8
2024-02,2023-10,45,336,13.39
2024-02,2023-11,33,336,9.82
2024-02,2023-12,43,336,12.8
2024-02,2024-01,48,336,14.29
2024-02,2024-02,45,336,13.39
2024-02,2024-03,51,336,15.18
2024-02,2024-04,51,336,15.18
2024-02,2024-05,50,336,14.88
2024-02,2024-06,46,336,13.69
2024-02,2024-07,41,336,12.2
2024-02,2024-08,54,336,16.07
2024-02,2024-09,47,336,13.99
2024-02,2024-10,44,336,13.1
2024-02,2024-11,50,336,14.88
2024-02,2024-12,53,336,15.77
2024-03,2023-01,38,318,11.95
2024-03,2023-02,37,318,11.64
2024-03,2023-03,49,318,15.41
2024-03,2023-04,46,318,14.47
2024-03,2023-05,50,318,15.72
2024-03,2023-06,42,318,13.21
2024-03,2023-07,32,318,10.06
2024-03,2023-08,37,318,11.64
2024-03,2023-09,49,318,15.41
2024-03,2023-10,34,318,10.69
2024-03,2023-11,44,318,13.84
2024-03,2023-12,52,318,16.35
2024-03,2024-01,51,318,16.04
2024-03,2024-02,42,318,13.21
2024-03,2024-03,44,318,13.84
2024-03,2024-04,37,318,11.64
2024-03,2024-05,33,318,10.38
2024-03,2024-06,35,318,11.01
2024-03,2024-07,43,318,13.52
2024-03,2024-08,48,318,15.09
2024-03,2024-09,44,318,13.84
2024-03,2024-10,44,318,13.84
2024-03,2024-11,42,318,13.21
2024-03,2024-12,45,318,14.15
2024-04,2023-01,42,311,13.5
2024-04,2023-02,38,311,12.22
2024-04,2023-03,49,311,15.76
2024-04,2023-04,44,311,14.15
2024-04,2023-05,40,311,12.86
2024-04,2023-06,39,311,12.54
2024-04,2023-07,33,311,10.61
2024-04,2023-08,45,311,14.47
2024-04,2023-09,37,311,11.9
2024-04,2023-10,43,311,13.83
2024-04,2023-11,35,311,11.25
2024-04,2023-12,36,311,11.58
2024-04,2024-01,42,311,13.5
2024-04,2024-02,43,311,13.83
2024-04,2024-03,32,311,10.29
2024-04,2024-04,42,311,13.5
2024-04,2024-05,45,311,14.47
2024-04,2024-06,39,311,12.54
2024-04,2024-07,38,311,12.22
2024-04,2024-08,48,311,15.43
2024-04,2024-09,41,311,13.18
2024-04,2024-10,40,311,12.86
2024-04,2024-11,29,311,9.32
2024-04,2024-12,35,311,11.25
2024-05,2023-01,40,335,11.94
2024-05,2023-02,46,335,13.73
2024-05,2023-03,53,335,15.82
2024-05,2023-04,45,335,13.43
2024-05,2023-05,49,335,14.63
2024-05,2023-06,50,335,14.93
2024-05,2023-07,47,335,14.03
2024-05,2023-08,37,335,11.04
2024-05,2023-09,38,335,11.34
2024-05,2023-10,52,335,15.52
2024-05,2023-11,44,335,13.13
2024-05,2023-12,46,335,13.73
2024-05,2024-01,39,335,11.64
2024-05,2024-02,45,335,13.43
2024-05,2024-03,51,335,15.22
2024-05,2024-04,42,335,12.54
2024-05,2024-05,42,335,12.54
2024-05,2024-06,48,335,14.33
2024-05,2024-07,45,335,13.43
2024-05,2024-08,38,335,11.34
2024-05,2024-09,48,335,14.33
2024-05,2024-10,46,335,13.73
2024-05,2024-11,52,335,15.52
2024-05,2024-12,50,335,14.93
2024-06,2023-01,41,334,12.28
2024-06,2023-02,44,334,13.17
2024-06,2023-03,44,334,13.17
2024-06,2023-04,47,334,14.07
2024-06,2023-05,40,334,11.98
2024-06,2023-06,38,334,11.38
2024-06,2023-07,45,334,13.47
2024-06,2023-08,43,334,12.87
2024-06,2023-09,45,334,13.47
2024-06,2023-10,48,334,14.37
2024-06,2023-11,43,334,12.87
2024-06,2023-12,42,334,12.57
2024-06,2024-01,43,334,12.87
2024-06,2024-02,53,334,15.87
2024-06,2024-03,55,334,16.47
2024-06,2024-04,36,334,10.78
2024-06,2024-05,41,334,12.28
2024-06,2024-06,38,334,11.38
2024-06,2024-07,49,334,14.67
2024-06,2024-08,39,334,11.68
2024-06,2024-09,42,334,12.57
2024-06,2024-10,52,334,15.57
2024-06,2024-11,48,334,14.37
2024-06,2024-12,44,334,13.17
2024-07,2023-01,43,314,13.69
2024-07,2023-02,32,314,10.19
2024-07,2023-03,47,314,14.97
2024-07,2023-04,36,314,11.46
2024-07,2023-05,38,314,12.1
2024-07,2023-06,35,314,11.15
2024-07,2023-07,42,314,13.38
2024-07,2023-08,40,314,12.74
2024-07,2023-09,38,314,12.1
2024-07,2023-10,39,314,12.42
2024-07,2023-11,46,314,14.65
2024-07,2023-12,35,314,11.15
2024-07,2024-01,45,314,14.33
2024-07,2024-02,36,314,11.46
2024-07,2024-03,48,314,15.29
2024-07,2024-04,48,314,15.29
2024-07,2024-05,50,314,15.92
2024-07,2024-06,41,314,13.06
2024-07,2024-07,44,314,14.01
2024-07,2024-08,45,314,14.33
2024-07,2024-09,43,314,13.69
2024-07,2024-10,41,314,13.06
2024-07,2024-11,36,314,11.46
2024-07,2024-12,46,314,14.65
2024-08,2023-01,41,333,12.31
2024-08,2023-02,45,333,13.51
2024-08,2023-03,46,333,13.81
2024-08,2023-04,48,333,14.41
2024-08,2023-05,44,333,13.21
2024-08,2023-06,37,333,11.11
2024-08,2023-07,49,333,14.71
2024-08,2023-08,39,333,11.71
2024-08,2023-09,43,333,12.91
2024-08,2023-10,47,333,14.11
2024-08,2023-11,41,333,12.31
2024-08,2023-12,36,333,10.81
2024-08,2024-01,41,333,12.31
2024-08,2024-02,42,333,12.61
2024-08,2024-03,39,333,11.71
2024-08,2024-04,59,333,17.72
2024-08,2024-05,52,333,15.62
2024-08,2024-06,42,333,12.61
2024-08,2024-07,43,333,12.91
2024-08,2024-08,40,333,12.01
2024-08,2024-09,42,333,12.61
2024-08,2024-10,39,333,11.71
2024-08,2024-11,32,333,9.61
2024-08,2024-12,38,333,11.41
2024-09,2023-01,45,369,12.2
2024-09,2023-02,45,369,12.2
2024-09,2023-03,50,369,13.55
2024-09,2023-04,52,369,14.09
2024-09,2023-05,49,369,13.28
2024-09,2023-06,53,369,14.36
2024-09,2023-07,43,369,11.65
2024-09,2023-08,52,369,14.09
2024-09,2023-09,51,369,13.82
2024-09,2023-10,53,369,14.36
2024-09,2023-11,49,369,13.28
2024-09,2023-12,60,369,16.26
2024-09,2024-01,53,369,14.36
2024-09,2024-02,42,369,11.38
2024-09,2024-03,53,369,14.36
2024-09,2024-04,47,369,12.74
2024-09,2024-05,49,369,13.28
2024-09,2024-06,52,369,14.09
2024-09,2024-07,62,369,16.8
2024-09,2024-08,50,369,13.55
2024-09,2024-09,45,369,12.2
2024-09,2024-10,46,369,12.47
2024-09,2024-11,58,369,15.72
2024-09,2024-12,58,369,15.72
2024-10,2023-01,42,354,11.86
2024-10,2023-02,47,354,13.28
2024-10,2023-03,52,354,14.69
2024-10,2023-04,46,354,12.99
2024-10,2023-05,43,354,12.15
2024-10,2023-06,47,354,13.28
2024-10,2023-07,57,354,16.1
2024-10,2023-08,53,354,14.97
2024-10,2023-09,50,354,14.12
2024-10,2023-10,52,354,14.69
2024-10,2023-11,46,354,12.99
2024-10,2023-12,46,354,12.99
2024-10,2024-01,50,354,14.12
2024-10,2024-02,52,354,14.69
2024-10,2024-03,63,354,17.8
2024-10,2024-04,46,354,12.99
2024-10,2024-05,58,354,16.38
2024-10,2024-06,51,354,14.41
2024-10,2024-07,50,354,14.12
2024-10,2024-08,57,354,16.1
2024-10,2024-09,47,354,13.28
2024-10,2024-10,50,354,14.12
2024-10,2024-11,48,354,13.56
2024-10,2024-12,43,354,12.15
2024-11,2023-01,43,342,12.57
2024-11,2023-02,45,342,13.16
2024-11,2023-03,53,342,15.5
2024-11,2023-04,39,342,11.4
2024-11,2023-05,44,342,12.87
2024-11,2023-06,50,342,14.62
2024-11,2023-07,48,342,14.04
2024-11,2023-08,45,342,13.16
2024-11,2023-09,39,342,11.4
2024-11,2023-10,47,342,13.74
2024-11,2023-11,56,342,16.37
2024-11,2023-12,41,342,11.99
2024-11,2024-01,52,342,15.2
2024-11,2024-02,42,342,12.28
2024-11,2024-03,45,342,13.16
2024-11,2024-04,43,342,12.57
2024-11,2024-05,42,342,12.28
2024-11,2024-06,45,342,13.16
2024-11,2024-07,57,342,16.67
2024-11,2024-08,52,342,15.2
2024-11,2024-09,47,342,13.74
2024-11,2024-10,43,342,12.57
2024-11,2024-11,44,342,12.87
2024-11,2024-12,52,342,15.2
2024-12,2023-01,38,308,12.34
2024-12,2023-02,38,308,12.34
2024-12,2023-03,46,308,14.94
2024-12,2023-04,30,308,9.74
2024-12,2023-05,50,308,16.23
2024-12,2023-06,34,308,11.04
2024-12,2023-07,41,308,13.31
2024-12,2023-08,36,308,11.69
2024-12,2023-09,37,308,12.01
2024-12,2023-10,43,308,13.96
2024-12,2023-11,34,308,11.04
2024-12,2023-12,46,308,14.94
2024-12,2024-01,42,308,13.64
2024-12,2024-02,42,308,13.64
2024-12,2024-03,32,308,10.39
2024-12,2024-04,40,308,12.99
2024-12,2024-05,44,308,14.29
2024-12,2024-06,38,308,12.34
2024-12,2024-07,34,308,11.04
2024-12,2024-08,37,308,12.01
2024-12,2024-09,40,308,12.99
2024-12,2024-10,29,308,9.42
2024-12,2024-11,45,308,14.61
2024-12,2024-12,35,308,11.36
