user_id,recency_days,frequency,monetary,segment,R_score,F_score,M_score
U00129,27,8,1904.83,重要价值用户,4,4,4
U00130,254,2,67.4,一般挽留用户,1,1,1
U00131,210,2,425.36,一般挽留用户,1,1,2
U00132,2,2,371.53,一般发展用户,5,1,2
U00133,16,15,5249.49,重要价值用户,4,5,5
U00134,76,3,180.97000000000003,一般挽留用户,2,2,1
U00135,70,1,74.97,一般挽留用户,2,1,1
U00136,11,18,7839.650000000001,重要价值用户,5,5,5
U00137,33,8,3220.7200000000003,重要价值用户,3,4,4
U00138,1,5,2383.86,重要价值用户,5,3,4
U00139,33,3,510.3,一般发展用户,3,2,2
U00140,17,8,3728.8500000000004,重要价值用户,4,4,4
U00141,38,26,24878.69,重要价值用户,3,5,5
U00142,15,2,232.07,一般发展用户,4,1,2
U00143,310,1,140.75,一般挽留用户,1,1,1
U00144,22,12,10818.81,重要价值用户,4,5,5
U00145,6,22,18433.22,重要价值用户,5,5,5
U00146,64,3,1275.08,重要挽留用户,3,2,3
U00147,21,8,4466.01,重要价值用户,4,4,5
U00148,8,27,17855.22,重要价值用户,5,5,5
U00149,63,6,1016.8299999999999,一般保持用户,3,3,3
U00150,29,3,370.59000000000003,一般发展用户,4,2,2
U00151,6,2,367.78999999999996,一般发展用户,5,1,2
U00152,20,6,1601.75,重要价值用户,4,3,3
U00153,16,14,9242.56,重要价值用户,4,5,5
U00154,29,4,1938.5700000000002,重要发展用户,4,3,4
U00155,119,2,165.67000000000002,一般挽留用户,2,1,1
U00156,37,6,1247.3200000000002,重要价值用户,3,3,3
U00157,32,9,2949.59,重要价值用户,4,4,4
U00158,35,2,313.44,一般发展用户,3,1,2
U00159,2,22,5619.77,重要价值用户,5,5,5
U00160,10,3,325.77,一般发展用户,5,2,2
U00161,14,27,12359.38,重要价值用户,5,5,5
U00162,50,5,1791.1299999999999,重要保持用户,3,3,4
U00163,3,6,2592.02,重要价值用户,5,3,4
U00164,140,3,1664.24,重要挽留用户,1,2,3
U00165,172,3,351.69,一般挽留用户,1,2,2
U00166,1,14,8648.68,重要价值用户,5,5,5
U00167,23,7,3340.44,重要价值用户,4,4,4
U00168,23,10,4797.81,重要价值用户,4,5,5
U00169,148,3,277.03999999999996,一般挽留用户,1,2,2
U00170,40,4,1528.0,重要发展用户,3,3,3
U00171,123,1,158.11,一般挽留用户,2,1,1
U00172,280,1,106.55,一般挽留用户,1,1,1
U00173,67,3,202.71,一般挽留用户,2,2,2
U00174,99,3,490.51,一般挽留用户,2,2,2
U00175,134,2,322.2,一般挽留用户,2,1,2
U00176,13,22,12287.05,重要价值用户,5,5,5
U00177,36,9,3252.75,重要价值用户,3,4,4
U00178,74,3,427.06,一般挽留用户,2,2,2
U00179,20,19,8063.3,重要价值用户,4,5,5
U00180,107,7,1441.23,重要保持用户,2,4,3
U00181,344,1,74.81,一般挽留用户,1,1,1
U00182,15,9,2946.54,重要价值用户,4,4,4
U00183,17,10,3737.21,重要价值用户,4,5,4
U00184,32,9,3337.3500000000004,重要价值用户,4,4,4
U00185,47,2,276.98,一般挽留用户,3,1,2
U00186,43,6,2086.37,重要价值用户,3,3,4
U00187,47,1,145.52,一般挽留用户,3,1,1
U00188,321,3,450.45,一般挽留用户,1,2,2
U00189,33,9,3243.88,重要价值用户,3,4,4
U00190,130,6,2221.63,重要保持用户,2,3,4
U00191,26,8,4094.15,重要价值用户,4,4,4
U00192,276,1,159.42,一般挽留用户,1,1,1
U00193,5,24,7743.91,重要价值用户,5,5,5
U00194,37,17,15153.54,重要价值用户,3,5,5
U00195,236,2,440.63,一般挽留用户,1,1,2
U00196,143,3,173.08,一般挽留用户,1,2,1
U00197,7,3,633.25,一般发展用户,5,2,3
U00198,8,18,15545.71,重要价值用户,5,5,5
U00199,82,2,130.97,一般挽留用户,2,1,1
U00200,39,8,3602.21,重要价值用户,3,4,4
U00201,35,2,92.0,一般发展用户,3,1,1
U00202,113,7,2332.71,重要保持用户,2,4,4
U00203,102,4,676.7,一般挽留用户,2,3,3
U00204,144,1,87.22,一般挽留用户,1,1,1
U00205,17,9,2338.87,重要价值用户,4,4,4
U00206,16,4,525.54,一般发展用户,4,3,2
U00207,24,4,914.1300000000001,一般发展用户,4,3,3
U00208,3,25,22475.85,重要价值用户,5,5,5
U00209,58,15,7298.23,重要保持用户,3,5,5
U00210,147,8,8683.02,重要保持用户,1,4,5
U00211,78,6,2286.86,重要保持用户,2,3,4
U00212,31,4,807.65,一般发展用户,4,3,3
U00213,269,1,114.16,一般挽留用户,1,1,1
U00214,79,7,2120.12,重要保持用户,2,4,4
U00215,138,2,250.57,一般挽留用户,1,1,2
U00216,211,3,427.74,一般挽留用户,1,2,2
U00217,22,23,14354.130000000001,重要价值用户,4,5,5
U00218,11,9,4261.64,重要价值用户,5,4,4
U00219,177,2,261.09000000000003,一般挽留用户,1,1,2
U00220,18,2,220.87,一般发展用户,4,1,2
U00221,65,2,273.6,一般挽留用户,3,1,2
U00222,62,11,7991.69,重要保持用户,3,5,5
U00223,128,4,1653.4,重要挽留用户,2,3,3
U00224,9,26,24130.73,重要价值用户,5,5,5
U00225,116,1,79.08,一般挽留用户,2,1,1
U00226,23,6,1210.3899999999999,重要价值用户,4,3,3
U00227,221,2,325.71000000000004,一般挽留用户,1,1,2
U00228,23,24,8066.26,重要价值用户,4,5,5
U00229,57,2,128.8,一般挽留用户,3,1,1
U00230,11,23,15404.27,重要价值用户,5,5,5
U00231,207,2,279.97,一般挽留用户,1,1,2
U00232,30,18,10822.29,重要价值用户,4,5,5
U00233,220,1,216.47,一般挽留用户,1,1,2
U00234,106,2,289.87,一般挽留用户,2,1,2
U00235,12,6,1493.06,重要价值用户,5,3,3
U00236,42,3,829.39,一般发展用户,3,2,3
U00237,150,3,338.51,一般挽留用户,1,2,2
U00238,23,6,2229.7,重要价值用户,4,3,4
U00239,33,21,14404.22,重要价值用户,3,5,5
U00240,53,2,297.49,一般挽留用户,3,1,2
U00241,184,3,127.53000000000002,一般挽留用户,1,2,1
U00242,89,1,163.1,一般挽留用户,2,1,1
U00243,311,1,55.8,一般挽留用户,1,1,1
U00244,37,9,4800.19,重要价值用户,3,4,5
U00245,169,1,79.73,一般挽留用户,1,1,1
U00246,22,6,1801.84,重要价值用户,4,3,4
U00247,1,6,2582.4300000000003,重要价值用户,5,3,4
U00248,56,8,1426.1,重要保持用户,3,4,3
U00249,160,2,312.41,一般挽留用户,1,1,2
U00250,231,2,71.93,一般挽留用户,1,1,1
U00251,7,4,559.48,一般发展用户,5,3,3
U00252,9,26,17650.71,重要价值用户,5,5,5
U00253,43,3,222.31,一般发展用户,3,2,2
U00254,13,1,153.12,一般发展用户,5,1,1
U00255,4,3,313.86,一般发展用户,5,2,2
U00256,152,7,2528.84,重要保持用户,1,4,4
U00257,46,7,2910.51,重要价值用户,3,4,4
U00258,15,29,22741.25,重要价值用户,4,5,5
U00259,108,2,113.07,一般挽留用户,2,1,1
U00260,20,8,3842.87,重要价值用户,4,4,4
U00261,8,7,3365.85,重要价值用户,5,4,4
U00262,1,20,11901.54,重要价值用户,5,5,5
U00263,52,2,402.8,一般挽留用户,3,1,2
U00264,65,6,1996.7600000000002,重要保持用户,3,3,4
U00265,95,5,2639.11,重要保持用户,2,3,4
U00266,51,4,532.83,一般挽留用户,3,3,2
U00267,149,9,1915.15,重要保持用户,1,4,4
U00268,202,1,26.29,一般挽留用户,1,1,1
U00269,66,3,757.8900000000001,一般挽留用户,3,2,3
U00270,7,23,20146.98,重要价值用户,5,5,5
U00271,13,19,13840.16,重要价值用户,5,5,5
U00272,110,4,1585.71,重要挽留用户,2,3,3
U00273,13,27,14829.789999999999,重要价值用户,5,5,5
U00274,125,1,118.18,一般挽留用户,2,1,1
U00275,220,2,84.47,一般挽留用户,1,1,1
U00276,43,13,11919.31,重要价值用户,3,5,5
U00277,237,3,228.81,一般挽留用户,1,2,2
U00278,10,16,9318.619999999999,重要价值用户,5,5,5
U00279,198,4,825.25,一般挽留用户,1,3,3
U00280,150,3,690.05,一般挽留用户,1,2,3
U00281,7,5,2570.59,重要价值用户,5,3,4
U00282,7,8,3897.4300000000003,重要价值用户,5,4,4
U00283,297,1,168.06,一般挽留用户,1,1,1
U00284,34,4,1251.33,重要发展用户,3,3,3
U00285,188,1,60.58,一般挽留用户,1,1,1
U00286,152,1,104.58,一般挽留用户,1,1,1
U00287,55,2,228.87,一般挽留用户,3,1,2
U00288,25,25,13815.92,重要价值用户,4,5,5
U00289,51,6,3067.47,重要保持用户,3,3,4
U00290,2,24,15880.03,重要价值用户,5,5,5
U00291,29,14,4194.12,重要价值用户,4,5,4
U00292,3,20,9559.5,重要价值用户,5,5,5
U00293,38,1,65.25,一般发展用户,3,1,1
U00294,7,4,763.1400000000001,一般发展用户,5,3,3
U00295,43,2,420.37,一般发展用户,3,1,2
U00296,76,3,260.63,一般挽留用户,2,2,2
U00297,30,7,2457.5299999999997,重要价值用户,4,4,4
U00298,56,27,10984.26,重要保持用户,3,5,5
U00299,100,8,1736.39,重要保持用户,2,4,4
U00300,189,2,104.22,一般挽留用户,1,1,1
U00301,8,3,648.96,一般发展用户,5,2,3
U00302,12,8,2513.4700000000003,重要价值用户,5,4,4
U00303,82,3,354.96000000000004,一般挽留用户,2,2,2
U00304,33,8,1970.56,重要价值用户,3,4,4
U00305,29,2,146.53,一般发展用户,4,1,1
U00306,17,9,4368.35,重要价值用户,4,4,5
U00307,136,2,292.37,一般挽留用户,1,1,2
U00308,20,12,10285.939999999999,重要价值用户,4,5,5
U00309,48,3,130.05,一般挽留用户,3,2,1
U00310,8,9,11735.89,重要价值用户,5,4,5
U00311,284,2,291.29,一般挽留用户,1,1,2
U00312,189,2,182.8,一般挽留用户,1,1,1
U00313,76,14,8015.98,重要保持用户,2,5,5
U00314,170,3,644.41,一般挽留用户,1,2,3
U00315,347,1,20.45,一般挽留用户,1,1,1
U00316,305,1,114.79,一般挽留用户,1,1,1
U00317,7,3,504.44,一般发展用户,5,2,2
U00318,239,1,60.82,一般挽留用户,1,1,1
U00319,33,3,213.18,一般发展用户,3,2,2
U00320,24,6,3060.48,重要价值用户,4,3,4
U00321,91,6,2696.8,重要保持用户,2,3,4
U00322,32,3,756.05,一般发展用户,4,2,3
U00323,3,9,1744.44,重要价值用户,5,4,4
U00324,5,8,2421.71,重要价值用户,5,4,4
U00325,52,6,1027.08,一般保持用户,3,3,3
U00326,228,3,396.55,一般挽留用户,1,2,2
U00327,6,25,14513.380000000001,重要价值用户,5,5,5
U00328,244,1,78.02,一般挽留用户,1,1,1
U00329,10,9,2081.24,重要价值用户,5,4,4
U00330,127,7,1952.56,重要保持用户,2,4,4
U00331,113,7,2041.8400000000001,重要保持用户,2,4,4
U00332,28,22,19475.5,重要价值用户,4,5,5
U00333,12,2,273.48,一般发展用户,5,1,2
U00334,12,9,2048.95,重要价值用户,5,4,4
U00335,16,18,17015.44,重要价值用户,4,5,5
U00336,7,3,303.40999999999997,一般发展用户,5,2,2
U00337,44,8,3008.27,重要价值用户,3,4,4
U00338,11,5,1295.29,重要价值用户,5,3,3
U00339,56,20,8296.26,重要保持用户,3,5,5
U00340,37,3,153.35,一般发展用户,3,2,1
U00341,155,2,97.46000000000001,一般挽留用户,1,1,1
U00342,115,8,2058.25,重要保持用户,2,4,4
U00343,34,5,2094.75,重要价值用户,3,3,4
U00344,167,1,73.05,一般挽留用户,1,1,1
U00345,49,13,8760.34,重要保持用户,3,5,5
U00346,5,10,5693.01,重要价值用户,5,5,5
U00347,1,26,7913.75,重要价值用户,5,5,5
U00348,4,9,3996.55,重要价值用户,5,4,4
U00349,172,6,1816.93,重要保持用户,1,3,4
U00350,4,17,12429.06,重要价值用户,5,5,5
U00351,309,2,139.8,一般挽留用户,1,1,1
U00352,78,4,1338.47,重要挽留用户,2,3,3
U00353,46,3,215.63,一般发展用户,3,2,2
U00354,283,1,68.31,一般挽留用户,1,1,1
U00355,12,3,323.68,一般发展用户,5,2,2
U00356,18,5,1811.5500000000002,重要价值用户,4,3,4
U00357,10,4,2273.9700000000003,重要发展用户,5,3,4
U00358,84,5,2141.54,重要保持用户,2,3,4
U00359,7,5,1749.57,重要价值用户,5,3,4
U00360,1,9,2912.37,重要价值用户,5,4,4
U00361,320,2,66.04,一般挽留用户,1,1,1
U00362,96,3,1623.42,重要挽留用户,2,2,3
U00363,159,4,1331.77,重要挽留用户,1,3,3
U00364,73,8,3229.01,重要保持用户,2,4,4
U00365,9,9,3334.18,重要价值用户,5,4,4
U00366,301,1,145.47,一般挽留用户,1,1,1
U00367,206,1,123.14,一般挽留用户,1,1,1
U00368,221,3,344.85999999999996,一般挽留用户,1,2,2
U00369,5,26,10551.55,重要价值用户,5,5,5
U00370,193,2,138.97,一般挽留用户,1,1,1
U00371,10,6,1497.8200000000002,重要价值用户,5,3,3
U00372,28,7,1082.6,一般价值用户,4,4,3
U00373,160,3,132.51999999999998,一般挽留用户,1,2,1
U00374,37,13,8108.84,重要价值用户,3,5,5
U00375,180,6,1581.71,重要保持用户,1,3,3
U00376,20,10,6297.99,重要价值用户,4,5,5
U00377,32,3,284.11,一般发展用户,4,2,2
U00378,33,18,10612.130000000001,重要价值用户,3,5,5
U00379,244,2,383.2,一般挽留用户,1,1,2
U00380,148,4,1264.37,重要挽留用户,1,3,3
U00381,251,1,58.15,一般挽留用户,1,1,1
U00382,140,2,182.85,一般挽留用户,1,1,1
U00383,163,3,665.28,一般挽留用户,1,2,3
U00384,16,4,1604.08,重要发展用户,4,3,3
U00385,18,25,14176.9,重要价值用户,4,5,5
U00386,28,26,27055.190000000002,重要价值用户,4,5,5
U00387,24,9,2198.13,重要价值用户,4,4,4
U00388,78,9,4472.36,重要保持用户,2,4,5
U00389,134,3,439.81,一般挽留用户,2,2,2
U00390,36,5,1589.42,重要价值用户,3,3,3
U00391,27,6,1863.26,重要价值用户,4,3,4
U00392,1,8,2641.93,重要价值用户,5,4,4
U00393,30,2,165.54000000000002,一般发展用户,4,1,1
U00394,66,3,268.15,一般挽留用户,3,2,2
U00395,177,1,33.93,一般挽留用户,1,1,1
U00396,21,3,1579.39,重要发展用户,4,2,3
U00397,48,8,1502.28,重要保持用户,3,4,3
U00398,38,3,217.35999999999999,一般发展用户,3,2,2
U00399,53,5,2181.81,重要保持用户,3,3,4
U00400,11,7,2399.29,重要价值用户,5,4,4
U00401,13,5,1171.1100000000001,重要价值用户,5,3,3
U00402,42,1,52.96,一般发展用户,3,1,1
U00403,46,6,819.37,一般价值用户,3,3,3
U00404,68,3,388.81,一般挽留用户,2,2,2
U00405,33,5,837.83,一般价值用户,3,3,3
U00406,42,2,198.82,一般发展用户,3,1,2
U00407,200,3,333.27,一般挽留用户,1,2,2
U00408,8,10,3330.54,重要价值用户,5,5,4
U00409,109,6,1109.43,一般保持用户,2,3,3
U00410,130,14,12932.33,重要保持用户,2,5,5
U00411,111,6,1332.6,重要保持用户,2,3,3
U00412,311,1,41.44,一般挽留用户,1,1,1
U00413,4,25,26204.81,重要价值用户,5,5,5
U00414,132,2,357.85,一般挽留用户,2,1,2
U00415,204,1,147.03,一般挽留用户,1,1,1
U00416,2,2,79.0,一般发展用户,5,1,1
U00417,103,4,1218.14,重要挽留用户,2,3,3
U00418,40,9,2101.46,重要价值用户,3,4,4
U00419,103,1,31.18,一般挽留用户,2,1,1
U00420,47,2,107.28999999999999,一般挽留用户,3,1,1
U00421,101,3,364.46000000000004,一般挽留用户,2,2,2
U00422,30,5,2730.45,重要价值用户,4,3,4
U00423,21,6,1790.06,重要价值用户,4,3,4
U00424,56,8,3915.52,重要保持用户,3,4,4
U00425,186,3,999.78,一般挽留用户,1,2,3
U00426,48,3,260.51,一般挽留用户,3,2,2
U00427,11,22,9583.09,重要价值用户,5,5,5
U00428,40,7,2082.19,重要价值用户,3,4,4
U00429,54,16,12335.6,重要保持用户,3,5,5
U00430,9,28,17393.68,重要价值用户,5,5,5
U00431,353,1,59.37,一般挽留用户,1,1,1
U00432,11,6,841.55,一般价值用户,5,3,3
U00433,91,6,2237.11,重要保持用户,2,3,4
U00434,86,3,929.29,一般挽留用户,2,2,3
U00435,7,1,89.12,一般发展用户,5,1,1
U00436,1,12,8992.58,重要价值用户,5,5,5
U00437,18,15,9300.89,重要价值用户,4,5,5
U00438,144,3,561.51,一般挽留用户,1,2,3
U00439,347,1,66.0,一般挽留用户,1,1,1
U00440,8,21,17239.28,重要价值用户,5,5,5
U00441,48,7,2356.45,重要保持用户,3,4,4
U00442,52,23,9699.01,重要保持用户,3,5,5
U00443,211,1,132.83,一般挽留用户,1,1,1
U00444,31,3,495.40999999999997,一般发展用户,4,2,2
U00445,39,7,1825.0,重要价值用户,3,4,4
U00446,340,1,99.95,一般挽留用户,1,1,1
U00447,341,1,208.07,一般挽留用户,1,1,2
U00448,3,22,13859.48,重要价值用户,5,5,5
U00449,37,5,1163.82,重要价值用户,3,3,3
U00450,22,7,8535.52,重要价值用户,4,4,5
U00451,36,19,12286.34,重要价值用户,3,5,5
U00452,62,7,1632.99,重要保持用户,3,4,3
U00453,91,4,1589.4,重要挽留用户,2,3,3
U00454,13,22,21559.22,重要价值用户,5,5,5
U00455,74,3,442.69,一般挽留用户,2,2,2
U00456,194,3,1576.74,重要挽留用户,1,2,3
U00457,90,4,712.83,一般挽留用户,2,3,3
U00458,32,8,2431.12,重要价值用户,4,4,4
U00459,20,9,1274.15,重要价值用户,4,4,3
U00460,313,3,171.98000000000002,一般挽留用户,1,2,1
U00461,57,17,12169.73,重要保持用户,3,5,5
U00462,359,1,165.41,一般挽留用户,1,1,1
U00463,1,7,1580.1,重要价值用户,5,4,3
U00464,10,2,275.66999999999996,一般发展用户,5,1,2
U00465,24,4,947.72,一般发展用户,4,3,3
U00466,31,18,10870.73,重要价值用户,4,5,5
U00467,32,6,1965.6799999999998,重要价值用户,4,3,4
U00468,51,25,19068.1,重要保持用户,3,5,5
U00469,48,2,335.32,一般挽留用户,3,1,2
U00470,23,2,268.34999999999997,一般发展用户,4,1,2
U00471,23,16,12434.85,重要价值用户,4,5,5
U00472,25,3,380.12,一般发展用户,4,2,2
U00473,245,3,212.22,一般挽留用户,1,2,2
U00474,16,8,2574.6,重要价值用户,4,4,4
U00475,60,6,2436.45,重要保持用户,3,3,4
U00476,92,2,300.74,一般挽留用户,2,1,2
U00477,10,4,1367.04,重要发展用户,5,3,3
U00478,267,2,404.28,一般挽留用户,1,1,2
U00479,101,3,684.73,一般挽留用户,2,2,3
U00480,98,3,529.0,一般挽留用户,2,2,2
U00481,14,3,855.32,一般发展用户,5,2,3
U00482,1,28,22412.760000000002,重要价值用户,5,5,5
U00483,44,12,3272.75,重要价值用户,3,5,4
U00484,1,4,1302.46,重要发展用户,5,3,3
U00485,5,12,8415.5,重要价值用户,5,5,5
U00486,223,1,92.67,一般挽留用户,1,1,1
U00487,11,5,1481.92,重要价值用户,5,3,3
U00488,4,8,1598.71,重要价值用户,5,4,3
U00489,90,3,131.31,一般挽留用户,2,2,1
U00490,207,1,72.1,一般挽留用户,1,1,1
U00491,50,3,1188.3400000000001,重要挽留用户,3,2,3
U00492,107,3,781.35,一般挽留用户,2,2,3
U00493,9,18,12620.539999999999,重要价值用户,5,5,5
U00494,73,8,2570.8,重要保持用户,2,4,4
U00495,19,9,2752.46,重要价值用户,4,4,4
U00496,195,6,2718.67,重要保持用户,1,3,4
U00497,2,5,1310.3700000000001,重要价值用户,5,3,3
U00498,300,2,303.4,一般挽留用户,1,1,2
U00499,262,3,240.2,一般挽留用户,1,2,2
U00500,152,9,1409.43,重要保持用户,1,4,3
U00501,107,3,78.87,一般挽留用户,2,2,1
U00502,21,23,14606.7,重要价值用户,4,5,5
U00503,246,2,272.34,一般挽留用户,1,1,2
U00504,42,3,867.2900000000001,一般发展用户,3,2,3
U00505,129,1,144.71,一般挽留用户,2,1,1
U00506,136,2,124.87,一般挽留用户,1,1,1
U00507,10,23,7928.96,重要价值用户,5,5,5
U00508,148,3,329.93,一般挽留用户,1,2,2
U00509,37,8,1229.01,重要价值用户,3,4,3
U00510,70,4,1061.72,一般挽留用户,2,3,3
U00511,16,4,1351.81,重要发展用户,4,3,3
U00512,173,2,465.03999999999996,一般挽留用户,1,1,2
U00513,4,8,1979.56,重要价值用户,5,4,4
U00514,29,29,17706.9,重要价值用户,4,5,5
U00515,22,2,236.48,一般发展用户,4,1,2
U00516,13,9,3925.34,重要价值用户,5,4,4
U00517,27,8,1260.68,重要价值用户,4,4,3
U00518,90,1,20.69,一般挽留用户,2,1,1
U00519,60,8,1820.48,重要保持用户,3,4,4
U00520,9,22,20563.95,重要价值用户,5,5,5
U00521,124,3,140.42,一般挽留用户,2,2,1
U00522,109,3,146.1,一般挽留用户,2,2,1
U00523,11,3,623.45,一般发展用户,5,2,3
U00524,10,7,1501.38,重要价值用户,5,4,3
U00525,26,1,50.35,一般发展用户,4,1,1
U00526,4,20,11799.16,重要价值用户,5,5,5
U00527,310,1,95.55,一般挽留用户,1,1,1
